Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time
25,5,1,1.0,MultinomialNB(),0.791,0.795,0.0,0.793,0.0,0.795,0.793,0.0,174,1.0,0:00:00.025871,None,
25,5,1,1.0,LinearSVC(max_iter=10000),0.835,0.832,0.0,0.832,0.0,0.832,0.832,0.0,174,1.0,0:00:34.611771,None,
25,5,1,1.0,LogisticRegression(max_iter=10000),0.834,0.833,0.0,0.833,0.0,0.833,0.834,0.0,174,1.0,0:00:03.663019,None,
25,5,1,0.975,MultinomialNB(),0.798,0.802,0.007000000000000006,0.801,0.008000000000000007,0.802,0.801,0.008000000000000007,133,0.764,0:00:00.018760,None,
25,5,1,0.975,LinearSVC(max_iter=10000),0.835,0.833,0.0010000000000000009,0.833,0.0010000000000000009,0.833,0.833,0.0010000000000000009,133,0.764,0:00:21.209303,None,
25,5,1,0.975,LogisticRegression(max_iter=10000),0.835,0.834,0.0010000000000000009,0.834,0.0010000000000000009,0.834,0.834,0.0,133,0.764,0:00:02.737031,None,
25,5,1,0.95,MultinomialNB(),0.799,0.802,0.007000000000000006,0.802,0.009000000000000008,0.802,0.802,0.009000000000000008,102,0.586,0:00:00.014759,None,
25,5,1,0.95,LinearSVC(max_iter=10000),0.832,0.83,-0.0020000000000000018,0.83,-0.0020000000000000018,0.83,0.831,-0.0010000000000000009,102,0.586,0:00:08.604895,None,
25,5,1,0.95,LogisticRegression(max_iter=10000),0.831,0.831,-0.0020000000000000018,0.83,-0.0030000000000000027,0.831,0.831,-0.0030000000000000027,102,0.586,0:00:01.452483,None,
25,5,1,0.925,MultinomialNB(),0.79,0.795,0.0,0.795,0.0020000000000000018,0.795,0.796,0.0030000000000000027,78,0.448,0:00:00.011830,None,
25,5,1,0.925,LinearSVC(max_iter=10000),0.829,0.825,-0.007000000000000006,0.825,-0.007000000000000006,0.825,0.826,-0.006000000000000005,78,0.448,0:00:05.303747,None,
25,5,1,0.925,LogisticRegression(max_iter=10000),0.831,0.826,-0.007000000000000006,0.826,-0.007000000000000006,0.826,0.827,-0.007000000000000006,78,0.448,0:00:01.214809,None,
25,5,1,0.9,MultinomialNB(),0.788,0.792,-0.0030000000000000027,0.792,-0.0010000000000000009,0.792,0.794,0.0010000000000000009,62,0.356,0:00:00.010893,None,
25,5,1,0.9,LinearSVC(max_iter=10000),0.825,0.823,-0.009000000000000008,0.823,-0.009000000000000008,0.823,0.824,-0.008000000000000007,62,0.356,0:00:03.720719,None,
25,5,1,0.9,LogisticRegression(max_iter=10000),0.825,0.824,-0.009000000000000008,0.823,-0.010000000000000009,0.824,0.824,-0.010000000000000009,62,0.356,0:00:00.788672,None,
