Forest Size, Forest Depth, Nodes Count, Model Size (KB), Accuracy
16,5,924,23,0.841581696095499
32,5,1878,46,0.846555583188262
64,5,3780,94,0.849042526734643
128,5,7524,188,0.845809500124347
16,10,9166,229,0.872171101715991
256,5,15038,375,0.847052971897538
32,10,17740,443,0.872171101715991
16,15,25108,627,0.877144988808754
64,10,35978,899,0.873165879134544
32,15,50788,1269,0.873414573489182
128,10,72068,1801,0.8709276299428
64,15,101132,2528,0.879383238000497
256,10,143908,3597,0.871922407361353
128,15,205734,5143,0.879383238000497
256,15,404872,10121,0.879631932355136
