Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time
,,,,,,,,,,,,,,,,
25,5,1,1,MultinomialNB(),0.931,0.932,0,0.899,0,0.932,0.909,0,303,1,0:00:00.496308,0:02:42.209959
,,,,,,,,,,,,,,,,
25,5,1,1,LinearSVC(max_iter=10000),0.972,0.971,0,0.957,0,0.971,0.967,0,303,1,0:11:19.073142,0:02:42.209959
,,,,,,,,,,,,,,,,
25,5,1,1,LogisticRegression(max_iter=10000),0.974,0.973,0,0.959,0,0.973,0.967,0,303,1,0:01:54.727611,0:02:42.209959
,,,,,,,,,,,,,,,,
25,5,1,0.975,MultinomialNB(),0.919,0.92,-0.053,0.883,-0.076,0.92,0.901,-0.066,286,0.944,0:00:00.483360,0:02:28.724924
,,,,,,,,,,,,,,,,
25,5,1,0.975,LinearSVC(max_iter=10000),0.971,0.971,-0.002,0.956,-0.003,0.971,0.965,-0.003,286,0.944,0:07:43.946312,0:02:28.724924
,,,,,,,,,,,,,,,,
25,5,1,0.975,LogisticRegression(max_iter=10000),0.972,0.972,-0.001,0.958,-0.001,0.972,0.965,-0.003,286,0.944,0:01:37.770704,0:02:28.724924
,,,,,,,,,,,,,,,,
25,5,1,0.95,MultinomialNB(),0.913,0.913,-0.059,0.875,-0.084,0.913,0.897,-0.07,265,0.875,0:00:00.452046,0:02:11.821946
,,,,,,,,,,,,,,,,
25,5,1,0.95,LinearSVC(max_iter=10000),0.967,0.966,-0.006,0.949,-0.01,0.966,0.955,-0.012,265,0.875,0:07:19.347232,0:02:11.821946
,,,,,,,,,,,,,,,,
25,5,1,0.95,LogisticRegression(max_iter=10000),0.968,0.967,-0.005,0.951,-0.008,0.967,0.955,-0.013,265,0.875,0:01:28.888008,0:02:11.821946
,,,,,,,,,,,,,,,,
25,5,1,0.925,MultinomialNB(),0.915,0.916,-0.057,0.879,-0.081,0.916,0.9,-0.068,256,0.845,0:00:00.444671,0:02:08.480877
,,,,,,,,,,,,,,,,
25,5,1,0.925,LinearSVC(max_iter=10000),0.966,0.966,-0.007,0.949,-0.01,0.966,0.955,-0.012,256,0.845,0:06:58.234698,0:02:08.480877
,,,,,,,,,,,,,,,,
25,5,1,0.925,LogisticRegression(max_iter=10000),0.968,0.967,-0.005,0.951,-0.009,0.967,0.955,-0.013,256,0.845,0:01:25.628497,0:02:08.480877
,,,,,,,,,,,,,,,,
25,5,1,0.9,MultinomialNB(),0.915,0.915,-0.058,0.878,-0.081,0.915,0.9,-0.067,244,0.805,0:00:00.448200,0:01:58.829350
,,,,,,,,,,,,,,,,
25,5,1,0.9,LinearSVC(max_iter=10000),0.966,0.965,-0.007,0.948,-0.011,0.965,0.954,-0.013,244,0.805,0:06:23.451934,0:01:58.829350
,,,,,,,,,,,,,,,,
25,5,1,0.9,LogisticRegression(max_iter=10000),0.968,0.967,-0.005,0.951,-0.008,0.967,0.955,-0.012,244,0.805,0:01:27.156669,0:01:58.829350
,,,,,,,,,,,,,,,,
25,5,1,0.85,MultinomialNB(),0.911,0.911,-0.061,0.874,-0.085,0.911,0.9,-0.068,215,0.71,0:00:00.375901,0:01:40.457910
,,,,,,,,,,,,,,,,
25,5,1,0.85,LinearSVC(max_iter=10000),0.955,0.955,-0.018,0.934,-0.025,0.955,0.95,-0.018,215,0.71,0:05:11.393243,0:01:40.457910
,,,,,,,,,,,,,,,,
25,5,1,0.85,LogisticRegression(max_iter=10000),0.959,0.957,-0.016,0.936,-0.023,0.957,0.947,-0.021,215,0.71,0:01:22.514370,0:01:40.457910
,,,,,,,,,,,,,,,,
25,5,1,0.8,MultinomialNB(),0.892,0.892,-0.081,0.852,-0.107,0.892,0.893,-0.074,180,0.594,0:00:00.338115,0:01:22.571522
,,,,,,,,,,,,,,,,
25,5,1,0.8,LinearSVC(max_iter=10000),0.956,0.956,-0.017,0.935,-0.024,0.956,0.951,-0.017,180,0.594,0:04:15.516921,0:01:22.571522
,,,,,,,,,,,,,,,,
25,5,1,0.8,LogisticRegression(max_iter=10000),0.957,0.956,-0.016,0.936,-0.024,0.956,0.948,-0.019,180,0.594,0:00:55.051745,0:01:22.571522
,,,,,,,,,,,,,,,,
25,5,1,0.7,MultinomialNB(),0.821,0.82,-0.152,0.778,-0.181,0.82,0.859,-0.108,116,0.383,0:00:00.244476,0:00:57.092903
,,,,,,,,,,,,,,,,
25,5,1,0.7,LinearSVC(max_iter=10000),0.913,0.913,-0.06,0.872,-0.087,0.913,0.887,-0.08,116,0.383,0:02:35.776425,0:00:57.092903
,,,,,,,,,,,,,,,,
25,5,1,0.7,LogisticRegression(max_iter=10000),0.914,0.913,-0.06,0.872,-0.087,0.913,0.885,-0.082,116,0.383,0:00:38.427094,0:00:57.092903
,,,,,,,,,,,,,,,,
25,5,1,0.6,MultinomialNB(),0.903,0.903,-0.07,0.858,-0.101,0.903,0.872,-0.096,51,0.168,0:00:00.157761,0:00:41.434205
,,,,,,,,,,,,,,,,
25,5,1,0.6,LinearSVC(max_iter=10000),0.902,0.902,-0.071,0.856,-0.104,0.902,0.868,-0.099,51,0.168,0:00:53.412921,0:00:41.434205
,,,,,,,,,,,,,,,,
25,5,1,0.6,LogisticRegression(max_iter=10000),0.898,0.897,-0.075,0.847,-0.112,0.897,0.853,-0.114,51,0.168,0:00:16.562349,0:00:41.434205
,,,,,,,,,,,,,,,,
25,5,2,1,MultinomialNB(),0.935,0.935,0,0.905,0,0.935,0.923,0,160,1,0:00:00.317242,0:00:55.510409
,,,,,,,,,,,,,,,,
25,5,2,1,LinearSVC(max_iter=10000),0.973,0.972,0,0.959,0,0.972,0.968,0,160,1,0:03:07.445765,0:00:55.510409
,,,,,,,,,,,,,,,,
25,5,2,1,LogisticRegression(max_iter=10000),0.973,0.972,0,0.959,0,0.972,0.966,0,160,1,0:00:51.079413,0:00:55.510409
,,,,,,,,,,,,,,,,
25,5,2,0.975,MultinomialNB(),0.925,0.925,-0.047,0.893,-0.066,0.925,0.917,-0.049,154,0.962,0:00:00.296681,0:00:52.551365
,,,,,,,,,,,,,,,,
25,5,2,0.975,LinearSVC(max_iter=10000),0.971,0.971,-0.002,0.956,-0.002,0.971,0.965,-0.001,154,0.962,0:03:02.703456,0:00:52.551365
,,,,,,,,,,,,,,,,
25,5,2,0.975,LogisticRegression(max_iter=10000),0.972,0.972,-0.001,0.958,-0.001,0.972,0.964,-0.002,154,0.962,0:00:59.629086,0:00:52.551365
,,,,,,,,,,,,,,,,
25,5,2,0.95,MultinomialNB(),0.917,0.917,-0.056,0.882,-0.077,0.917,0.911,-0.055,143,0.894,0:00:00.282664,0:00:47.908308
,,,,,,,,,,,,,,,,
25,5,2,0.95,LinearSVC(max_iter=10000),0.967,0.967,-0.005,0.95,-0.008,0.967,0.956,-0.011,143,0.894,0:02:48.714649,0:00:47.908308
,,,,,,,,,,,,,,,,
25,5,2,0.95,LogisticRegression(max_iter=10000),0.968,0.967,-0.006,0.95,-0.009,0.967,0.953,-0.013,143,0.894,0:00:53.913288,0:00:47.908308
