Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time
25,5,1,1,MultinomialNB(),0.931,0.932,0.0,0.899,0.0,0.932,0.909,0.0,303,1,0:00:00.496308,0:02:42.209959
25,5,1,1,LinearSVC(max_iter=10000),0.972,0.971,0.0,0.957,0.0,0.971,0.967,0.0,303,1,0:11:19.073142,0:02:42.209959
25,5,1,1,LogisticRegression(max_iter=10000),0.974,0.973,0.0,0.959,0.0,0.973,0.967,0.0,303,1,0:01:54.727611,0:02:42.209959
25,5,1,0.975,MultinomialNB(),0.919,0.92,-0.01200000000000001,0.883,-0.016000000000000014,0.92,0.901,-0.008000000000000007,286,0.944,0:00:00.483360,0:02:28.724924
25,5,1,0.975,LinearSVC(max_iter=10000),0.971,0.971,0.0,0.956,-0.0010000000000000009,0.971,0.965,-0.0020000000000000018,286,0.944,0:07:43.946312,0:02:28.724924
25,5,1,0.975,LogisticRegression(max_iter=10000),0.972,0.972,-0.0010000000000000009,0.958,-0.0010000000000000009,0.972,0.965,-0.0020000000000000018,286,0.944,0:01:37.770704,0:02:28.724924
25,5,1,0.95,MultinomialNB(),0.913,0.913,-0.019000000000000017,0.875,-0.02400000000000002,0.913,0.897,-0.01200000000000001,265,0.875,0:00:00.452046,0:02:11.821946
25,5,1,0.95,LinearSVC(max_iter=10000),0.967,0.966,-0.0050000000000000044,0.949,-0.008000000000000007,0.966,0.955,-0.01200000000000001,265,0.875,0:07:19.347232,0:02:11.821946
25,5,1,0.95,LogisticRegression(max_iter=10000),0.968,0.967,-0.006000000000000005,0.951,-0.008000000000000007,0.967,0.955,-0.01200000000000001,265,0.875,0:01:28.888008,0:02:11.821946
25,5,1,0.925,MultinomialNB(),0.915,0.916,-0.016000000000000014,0.879,-0.020000000000000018,0.916,0.9,-0.009000000000000008,256,0.845,0:00:00.444671,0:02:08.480877
