Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train R2, Test R2, Test R2 (gain), MAE, MAE (gain), MSE, MSE (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time
25,5,1,1,MultinomialNB(),0.509,0.314,0.0,2.109,0.0,6.672,0.0,184,1,0:00:00.013803,0:00:01.507028
25,5,1,1,LinearSVC(max_iter=10000),0.707,0.315,0.0,2.049,0.0,6.658,0.0,184,1,0:01:39.395320,0:00:01.507028
25,5,1,1,LogisticRegression(max_iter=10000),0.742,0.354,0.0,1.996,0.0,6.277,0.0,184,1,0:00:21.529657,0:00:01.507028
25,5,1,0.975,MultinomialNB(),0.492,0.308,-0.006000000000000005,2.119,0.010000000000000231,6.725,0.052999999999999936,151,0.821,0:00:00.012809,0:00:00.795968
25,5,1,0.975,LinearSVC(max_iter=10000),0.7,0.347,0.03199999999999997,2.013,-0.03600000000000003,6.342,-0.3160000000000007,151,0.821,0:00:52.232906,0:00:00.795968
25,5,1,0.975,LogisticRegression(max_iter=10000),0.736,0.344,-0.010000000000000009,2.01,0.01399999999999979,6.372,0.09499999999999975,151,0.821,0:00:14.812561,0:00:00.795968
25,5,1,0.95,MultinomialNB(),0.483,0.3,-0.014000000000000012,2.128,0.019000000000000128,6.802,0.1299999999999999,135,0.734,0:00:00.011802,0:00:00.662128
25,5,1,0.95,LinearSVC(max_iter=10000),0.69,0.314,-0.0010000000000000009,2.052,0.0030000000000001137,6.665,0.006999999999999673,135,0.734,0:00:53.200093,0:00:00.662128
25,5,1,0.95,LogisticRegression(max_iter=10000),0.727,0.337,-0.01699999999999996,2.031,0.03500000000000014,6.444,0.16699999999999982,135,0.734,0:00:27.606636,0:00:00.662128
25,5,1,0.925,MultinomialNB(),0.468,0.296,-0.018000000000000016,2.132,0.02300000000000013,6.845,0.17300000000000004,119,0.647,0:00:00.011637,0:00:00.544150
25,5,1,0.925,LinearSVC(max_iter=10000),0.685,0.345,0.02999999999999997,2.014,-0.03500000000000014,6.362,-0.29600000000000026,119,0.647,0:00:41.352610,0:00:00.544150
25,5,1,0.925,LogisticRegression(max_iter=10000),0.711,0.358,0.0040000000000000036,1.998,0.0020000000000000018,6.242,-0.03500000000000014,119,0.647,0:00:23.418923,0:00:00.544150
25,5,1,0.9,MultinomialNB(),0.487,0.32,0.006000000000000005,2.094,-0.015000000000000124,6.608,-0.06400000000000006,109,0.592,0:00:00.010284,0:00:00.501050
25,5,1,0.9,LinearSVC(max_iter=10000),0.689,0.341,0.026000000000000023,2.018,-0.03100000000000014,6.408,-0.25,109,0.592,0:00:37.549815,0:00:00.501050
25,5,1,0.9,LogisticRegression(max_iter=10000),0.712,0.361,0.007000000000000006,1.988,-0.008000000000000007,6.209,-0.0680000000000005,109,0.592,0:00:21.234279,0:00:00.501050
25,5,1,0.85,MultinomialNB(),0.439,0.259,-0.05499999999999999,2.192,0.08300000000000018,7.2,0.5280000000000005,89,0.484,0:00:00.008772,0:00:00.405796
25,5,1,0.85,LinearSVC(max_iter=10000),0.641,0.304,-0.01100000000000001,2.071,0.02200000000000024,6.765,0.10699999999999932,89,0.484,0:00:29.255225,0:00:00.405796
25,5,1,0.85,LogisticRegression(max_iter=10000),0.679,0.335,-0.01899999999999996,2.04,0.04400000000000004,6.466,0.18900000000000006,89,0.484,0:00:15.917869,0:00:00.405796
25,5,1,0.8,MultinomialNB(),0.387,0.242,-0.07200000000000001,2.224,0.11500000000000021,7.369,0.6970000000000001,76,0.413,0:00:00.007933,0:00:00.353466
25,5,1,0.8,LinearSVC(max_iter=10000),0.625,0.296,-0.019000000000000017,2.082,0.03299999999999992,6.841,0.18299999999999983,76,0.413,0:00:20.597811,0:00:00.353466
25,5,1,0.8,LogisticRegression(max_iter=10000),0.655,0.32,-0.033999999999999975,2.047,0.051000000000000156,6.614,0.33699999999999974,76,0.413,0:00:13.634025,0:00:00.353466
25,5,1,0.7,MultinomialNB(),0.29,0.17,-0.144,2.319,0.20999999999999996,8.065,1.3929999999999998,46,0.25,0:00:00.005649,0:00:00.287350
25,5,1,0.7,LinearSVC(max_iter=10000),0.574,0.268,-0.046999999999999986,2.123,0.07400000000000029,7.111,0.4529999999999994,46,0.25,0:00:11.053675,0:00:00.287350
25,5,1,0.7,LogisticRegression(max_iter=10000),0.597,0.343,-0.010999999999999954,2.016,0.020000000000000018,6.388,0.11099999999999977,46,0.25,0:00:08.050225,0:00:00.287350
25,5,1,0.6,MultinomialNB(),0.215,0.07,-0.244,2.441,0.33199999999999985,9.038,2.3660000000000005,23,0.125,0:00:00.004802,0:00:00.262125
25,5,1,0.6,LinearSVC(max_iter=10000),0.468,-0.039,-0.354,2.551,0.5020000000000002,10.096,3.4379999999999997,23,0.125,0:00:04.017820,0:00:00.262125
