Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train R2, Test R2, Test R2 (gain), MAE, MAE (gain), MSE, MSE (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time
25,5,1,1,MultinomialNB(),-0.86,-0.67,0.0,0.862,0.0,1.323,0.0,124,1,0:00:00.011690,0:00:00.546469
25,5,1,1,LinearSVC(max_iter=10000),0.128,-0.03,0.0,0.604,0.0,0.816,0.0,124,1,0:00:15.370983,0:00:00.546469
25,5,1,1,LogisticRegression(max_iter=10000),0.157,0.04,0.0,0.59,0.0,0.761,0.0,124,1,0:00:05.146789,0:00:00.546469
25,5,1,0.975,MultinomialNB(),-0.872,-0.672,-0.0020000000000000018,0.864,0.0020000000000000018,1.326,0.0030000000000001137,105,0.847,0:00:00.006418,0:00:00.287367
25,5,1,0.975,LinearSVC(max_iter=10000),0.107,-0.06,-0.03,0.615,0.01100000000000001,0.84,0.02400000000000002,105,0.847,0:00:11.705697,0:00:00.287367
25,5,1,0.975,LogisticRegression(max_iter=10000),0.133,0.032,-0.008,0.596,0.006000000000000005,0.767,0.006000000000000005,105,0.847,0:00:04.475489,0:00:00.287367
25,5,1,0.95,MultinomialNB(),-0.903,-0.716,-0.04599999999999993,0.877,0.015000000000000013,1.36,0.037000000000000144,93,0.75,0:00:00.007456,0:00:00.215053
25,5,1,0.95,LinearSVC(max_iter=10000),0.102,-0.067,-0.037000000000000005,0.617,0.013000000000000012,0.846,0.030000000000000027,93,0.75,0:00:10.894006,0:00:00.215053
25,5,1,0.95,LogisticRegression(max_iter=10000),0.122,0.02,-0.02,0.601,0.01100000000000001,0.777,0.016000000000000014,93,0.75,0:00:03.307946,0:00:00.215053
25,5,1,0.925,MultinomialNB(),-0.942,-0.814,-0.1439999999999999,0.901,0.039000000000000035,1.438,0.11499999999999999,87,0.702,0:00:00.005962,0:00:00.208802
25,5,1,0.925,LinearSVC(max_iter=10000),0.104,-0.085,-0.05500000000000001,0.619,0.015000000000000013,0.86,0.04400000000000004,87,0.702,0:00:10.886656,0:00:00.208802
25,5,1,0.925,LogisticRegression(max_iter=10000),0.12,0.016,-0.024,0.6,0.010000000000000009,0.78,0.019000000000000017,87,0.702,0:00:03.072278,0:00:00.208802
25,5,1,0.9,MultinomialNB(),-0.965,-0.809,-0.139,0.899,0.03700000000000003,1.434,0.11099999999999999,76,0.613,0:00:00.004886,0:00:00.197218
