RF,nodes Count,
RF_5,1505,
RF_5_sigma_0_0,1505,
RF_5_sigma_0_1,1441,
RF_5_sigma_0_2,1361,
RF_5_sigma_0_3,1057,
RF_5_t2,143,
RF_5_t2_sigma_0_0,177,
RF_5_t2_sigma_0_1,190,
RF_5_t2_sigma_0_2,182,
RF_5_t2_sigma_0_3,157,
RF_5_t3,41,
RF_5_t3_sigma_0_0,51,
RF_5_t3_sigma_0_1,100,
RF_5_t3_sigma_0_2,87,
RF_5_t3_sigma_0_3,65,
RF_5_t4,19,
RF_5_t4_sigma_0_0,24,
RF_5_t4_sigma_0_1,71,
RF_5_t4_sigma_0_2,66,
RF_5_t4_sigma_0_3,44,
RF_5_t5,11,
RF_5_t5_sigma_0_0,12,
RF_5_t5_sigma_0_1,50,
RF_5_t5_sigma_0_2,52,
RF_5_t5_sigma_0_3,40,
RF_5_t6,5,
RF_5_t6_sigma_0_0,5,
RF_5_t6_sigma_0_1,31,
RF_5_t6_sigma_0_2,44,
RF_5_t6_sigma_0_3,35,
RF_5_t7,4,
RF_5_t7_sigma_0_0,3,
RF_5_t7_sigma_0_1,26,
RF_5_t7_sigma_0_2,35,
RF_5_t7_sigma_0_3,32,
RF_5_t8,2,
RF_5_t8_sigma_0_0,2,
RF_5_t8_sigma_0_1,18,
RF_5_t8_sigma_0_2,30,
RF_5_t8_sigma_0_3,26,
RF_5_t9,1,
RF_5_t9_sigma_0_0,1,
RF_5_t9_sigma_0_1,15,
RF_5_t9_sigma_0_2,26,
RF_5_t9_sigma_0_3,20,
RF_5_t10,1,
RF_5_t10_sigma_0_0,1,
RF_5_t10_sigma_0_1,12,
RF_5_t10_sigma_0_2,21,
RF_5_t10_sigma_0_3,17,
RF_5_t11,1,
RF_5_t11_sigma_0_0,1,
RF_5_t11_sigma_0_1,8,
RF_5_t11_sigma_0_2,14,
RF_5_t11_sigma_0_3,13,
RF_5_t12,1,
RF_5_t12_sigma_0_0,1,
RF_5_t12_sigma_0_1,6,
RF_5_t12_sigma_0_2,11,
RF_5_t12_sigma_0_3,12,
RF_5_t13,1,
RF_5_t13_sigma_0_0,1,
RF_5_t13_sigma_0_1,4,
RF_5_t13_sigma_0_2,10,
RF_5_t13_sigma_0_3,9,
RF_5_t14,1,
RF_5_t14_sigma_0_0,1,
RF_5_t14_sigma_0_1,4,
RF_5_t14_sigma_0_2,9,
RF_5_t14_sigma_0_3,6,
RF_5_t15,1,
RF_5_t15_sigma_0_0,1,
RF_5_t15_sigma_0_1,4,
RF_5_t15_sigma_0_2,6,
RF_5_t15_sigma_0_3,5,
RF_5_t16,1,
RF_5_t16_sigma_0_0,1,
RF_5_t16_sigma_0_1,2,
RF_5_t16_sigma_0_2,3,
RF_5_t16_sigma_0_3,4,
RF_5_t17,1,
RF_5_t17_sigma_0_0,1,
RF_5_t17_sigma_0_1,1,
RF_5_t17_sigma_0_2,3,
RF_5_t17_sigma_0_3,4,
RF_5_t18,1,
RF_5_t18_sigma_0_0,1,
RF_5_t18_sigma_0_1,1,
RF_5_t18_sigma_0_2,3,
RF_5_t18_sigma_0_3,3,
RF_5_t19,1,
RF_5_t19_sigma_0_0,1,
RF_5_t19_sigma_0_1,1,
RF_5_t19_sigma_0_2,3,
RF_5_t19_sigma_0_3,2,
RF_5_t20,1,
RF_5_t20_sigma_0_0,1,
RF_5_t20_sigma_0_1,1,
RF_5_t20_sigma_0_2,3,
RF_5_t20_sigma_0_3,2,
RF_5_t21,1,
RF_5_t21_sigma_0_0,1,
RF_5_t21_sigma_0_1,1,
RF_5_t21_sigma_0_2,2,
RF_5_t21_sigma_0_3,1,
RF_5_t22,1,
RF_5_t22_sigma_0_0,1,
RF_5_t22_sigma_0_1,1,
RF_5_t22_sigma_0_2,1,
RF_5_t22_sigma_0_3,1,
RF_5_t23,1,
RF_5_t23_sigma_0_0,1,
RF_5_t23_sigma_0_1,1,
RF_5_t23_sigma_0_2,1,
RF_5_t23_sigma_0_3,1,
RF_5_t24,1,
RF_5_t24_sigma_0_0,1,
RF_5_t24_sigma_0_1,1,
RF_5_t24_sigma_0_2,1,
RF_5_t24_sigma_0_3,1,
RF_5_t25,1,
RF_5_t25_sigma_0_0,1,
RF_5_t25_sigma_0_1,1,
RF_5_t25_sigma_0_2,1,
RF_5_t25_sigma_0_3,1,
RF_10,10145,
RF_10_sigma_0_0,10145,
RF_10_sigma_0_1,9985,
RF_10_sigma_0_2,8369,
RF_10_sigma_0_3,6757,
RF_10_t2,1208,
RF_10_t2_sigma_0_0,1067,
RF_10_t2_sigma_0_1,763,
RF_10_t2_sigma_0_2,1241,
RF_10_t2_sigma_0_3,1795,
RF_10_t3,777,
RF_10_t3_sigma_0_0,799,
RF_10_t3_sigma_0_1,548,
RF_10_t3_sigma_0_2,450,
RF_10_t3_sigma_0_3,625,
RF_10_t4,476,
RF_10_t4_sigma_0_0,597,
RF_10_t4_sigma_0_1,483,
RF_10_t4_sigma_0_2,237,
RF_10_t4_sigma_0_3,268,
RF_10_t5,283,
RF_10_t5_sigma_0_0,423,
RF_10_t5_sigma_0_1,419,
RF_10_t5_sigma_0_2,185,
RF_10_t5_sigma_0_3,128,
RF_10_t6,167,
RF_10_t6_sigma_0_0,265,
RF_10_t6_sigma_0_1,334,
RF_10_t6_sigma_0_2,148,
RF_10_t6_sigma_0_3,75,
RF_10_t7,97,
RF_10_t7_sigma_0_0,161,
RF_10_t7_sigma_0_1,274,
RF_10_t7_sigma_0_2,121,
RF_10_t7_sigma_0_3,56,
RF_10_t8,57,
RF_10_t8_sigma_0_0,98,
RF_10_t8_sigma_0_1,211,
RF_10_t8_sigma_0_2,102,
RF_10_t8_sigma_0_3,45,
RF_10_t9,29,
RF_10_t9_sigma_0_0,52,
RF_10_t9_sigma_0_1,157,
RF_10_t9_sigma_0_2,83,
RF_10_t9_sigma_0_3,44,
RF_10_t10,13,
RF_10_t10_sigma_0_0,34,
RF_10_t10_sigma_0_1,124,
RF_10_t10_sigma_0_2,66,
RF_10_t10_sigma_0_3,39,
RF_10_t11,5,
RF_10_t11_sigma_0_0,16,
RF_10_t11_sigma_0_1,95,
RF_10_t11_sigma_0_2,55,
RF_10_t11_sigma_0_3,37,
RF_10_t12,3,
RF_10_t12_sigma_0_0,6,
RF_10_t12_sigma_0_1,69,
RF_10_t12_sigma_0_2,47,
RF_10_t12_sigma_0_3,36,
RF_10_t13,1,
RF_10_t13_sigma_0_0,1,
RF_10_t13_sigma_0_1,49,
RF_10_t13_sigma_0_2,41,
RF_10_t13_sigma_0_3,35,
RF_10_t14,1,
RF_10_t14_sigma_0_0,1,
