Forest Size, Forest Depth, Edges Threshold, Similarity,
128,5,1.0,0.018518518518518517,
128,5,0.975,0.05555555555555555,
128,5,0.95,0.16666666666666666,
128,5,0.925,0.3148148148148148,
128,5,0.9,0.48148148148148145,
128,5,0.85,0.6,
128,5,0.8,0.6964285714285714,
128,5,0.7,0.8596491228070176,
128,5,0.6,0.896551724137931,
128,10,1.0,0.0,
128,10,0.975,0.0,
128,10,0.95,0.037037037037037035,
128,10,0.925,0.07407407407407407,
128,10,0.9,0.14814814814814814,
128,10,0.85,0.43636363636363634,
128,10,0.8,0.6909090909090909,
128,10,0.7,0.8448275862068966,
128,10,0.6,0.8852459016393442,
128,15,1.0,0.0,
128,15,0.975,0.0,
128,15,0.95,0.0,
128,15,0.925,0.037037037037037035,
128,15,0.9,0.1111111111111111,
128,15,0.85,0.41818181818181815,
128,15,0.8,0.6909090909090909,
128,15,0.7,0.8421052631578947,
128,15,0.6,0.9137931034482759,
