Forest Size, Forest Depth, Edges Threshold, Similarity,
16,5,1.0,0.09090909090909091,
16,5,0.975,0.11363636363636363,
16,5,0.95,0.10256410256410256,
16,5,0.925,0.08823529411764706,
16,5,0.9,0.1,
16,5,0.85,0.08695652173913043,
16,5,0.8,0.09523809523809523,
16,5,0.7,0.07692307692307693,
16,5,0.6,0.0,
16,10,1.0,0.07936507936507936,
16,10,0.975,0.08196721311475409,
16,10,0.95,0.0847457627118644,
16,10,0.925,0.07142857142857142,
16,10,0.9,0.0975609756097561,
16,10,0.85,0.0967741935483871,
16,10,0.8,0.07407407407407407,
16,10,0.7,0.09090909090909091,
16,10,0.6,0.0,
16,15,1.0,0.09375,
16,15,0.975,0.09375,
16,15,0.95,0.08196721311475409,
16,15,0.925,0.09090909090909091,
16,15,0.9,0.08333333333333333,
16,15,0.85,0.10810810810810811,
16,15,0.8,0.09090909090909091,
16,15,0.7,0.09090909090909091,
16,15,0.6,0.0,
32,5,1.0,0.08333333333333333,
32,5,0.975,0.09090909090909091,
32,5,0.95,0.1111111111111111,
32,5,0.925,0.10526315789473684,
32,5,0.9,0.0625,
32,5,0.85,0.03571428571428571,
32,5,0.8,0.047619047619047616,
32,5,0.7,0.0,
32,5,0.6,0.0,
32,10,1.0,0.09375,
32,10,0.975,0.07936507936507936,
32,10,0.95,0.08064516129032258,
32,10,0.925,0.08620689655172414,
32,10,0.9,0.07547169811320754,
32,10,0.85,0.09375,
32,10,0.8,0.08333333333333333,
32,10,0.7,0.0,
32,10,0.6,0.0,
32,15,1.0,0.09375,
32,15,0.975,0.078125,
32,15,0.95,0.078125,
32,15,0.925,0.08196721311475409,
32,15,0.9,0.08620689655172414,
32,15,0.85,0.075,
32,15,0.8,0.043478260869565216,
32,15,0.7,0.0,
32,15,0.6,0.0,
64,5,1.0,0.08064516129032258,
64,5,0.975,0.09090909090909091,
64,5,0.95,0.09803921568627451,
64,5,0.925,0.1111111111111111,
64,5,0.9,0.08108108108108109,
64,5,0.85,0.037037037037037035,
64,5,0.8,0.047619047619047616,
64,5,0.7,0.0625,
64,5,0.6,0.08333333333333333,
64,10,1.0,0.078125,
64,10,0.975,0.078125,
64,10,0.95,0.07936507936507936,
64,10,0.925,0.0847457627118644,
64,10,0.9,0.09259259259259259,
64,10,0.85,0.10256410256410256,
64,10,0.8,0.09090909090909091,
64,10,0.7,0.09090909090909091,
64,10,0.6,0.0,
64,15,1.0,0.09375,
64,15,0.975,0.09375,
64,15,0.95,0.09523809523809523,
64,15,0.925,0.0847457627118644,
64,15,0.9,0.09433962264150944,
64,15,0.85,0.07894736842105263,
64,15,0.8,0.08333333333333333,
64,15,0.7,0.11764705882352941,
64,15,0.6,0.0,
128,5,1.0,0.09523809523809523,
128,5,0.975,0.08064516129032258,
128,5,0.95,0.08928571428571429,
128,5,0.925,0.10416666666666667,
128,5,0.9,0.1,
128,5,0.85,0.09090909090909091,
128,5,0.8,0.11538461538461539,
128,5,0.7,0.058823529411764705,
128,5,0.6,0.07692307692307693,
128,10,1.0,0.09375,
128,10,0.975,0.09375,
128,10,0.95,0.07936507936507936,
128,10,0.925,0.08196721311475409,
128,10,0.9,0.08771929824561403,
128,10,0.85,0.0975609756097561,
128,10,0.8,0.06896551724137931,
128,10,0.7,0.0625,
128,10,0.6,0.0,
128,15,1.0,0.09375,
128,15,0.975,0.09375,
128,15,0.95,0.09375,
128,15,0.925,0.0967741935483871,
128,15,0.9,0.10344827586206896,
128,15,0.85,0.09523809523809523,
128,15,0.8,0.06896551724137931,
128,15,0.7,0.11764705882352941,
128,15,0.6,0.08333333333333333,
256,5,1.0,0.09375,
256,5,0.975,0.08333333333333333,
256,5,0.95,0.09259259259259259,
256,5,0.925,0.1,
256,5,0.9,0.11363636363636363,
256,5,0.85,0.058823529411764705,
256,5,0.8,0.07142857142857142,
256,5,0.7,0.05263157894736842,
256,5,0.6,0.07142857142857142,
256,10,1.0,0.09375,
256,10,0.975,0.09375,
256,10,0.95,0.07936507936507936,
256,10,0.925,0.08064516129032258,
256,10,0.9,0.08333333333333333,
256,10,0.85,0.0851063829787234,
256,10,0.8,0.06666666666666667,
256,10,0.7,0.05555555555555555,
256,10,0.6,0.0,
256,15,1.0,0.09375,
256,15,0.975,0.09375,
256,15,0.95,0.09375,
256,15,0.925,0.078125,
256,15,0.9,0.08064516129032258,
256,15,0.85,0.09433962264150944,
256,15,0.8,0.08571428571428572,
256,15,0.7,0.0625,
256,15,0.6,0.07142857142857142,
