Forest Size, Forest Depth, Edges Threshold, Similarity,
128,5,1.0,0.017857142857142856,
128,5,0.975,0.05357142857142857,
128,5,0.95,0.16071428571428573,
128,5,0.925,0.30357142857142855,
128,5,0.9,0.4642857142857143,
128,5,0.85,0.6071428571428571,
128,5,0.8,0.7017543859649122,
128,5,0.7,0.8947368421052632,
128,5,0.6,0.9310344827586207,
128,10,1.0,0.0,
128,10,0.975,0.0,
128,10,0.95,0.03571428571428571,
128,10,0.925,0.07142857142857142,
128,10,0.9,0.14285714285714285,
128,10,0.85,0.44642857142857145,
128,10,0.8,0.6964285714285714,
128,10,0.7,0.8793103448275862,
128,10,0.6,0.9180327868852459,
128,15,1.0,0.0,
128,15,0.975,0.0,
128,15,0.95,0.0,
128,15,0.925,0.03571428571428571,
128,15,0.9,0.10714285714285714,
128,15,0.85,0.42857142857142855,
128,15,0.8,0.6964285714285714,
128,15,0.7,0.8771929824561403,
128,15,0.6,0.9482758620689655,
