Forest Size, Forest Depth, Edges Threshold, Similarity,
128,5,1.0,0.01818181818181818,
128,5,0.975,0.05454545454545454,
128,5,0.95,0.16363636363636364,
128,5,0.925,0.3090909090909091,
128,5,0.9,0.4727272727272727,
128,5,0.85,0.6181818181818182,
128,5,0.8,0.7454545454545455,
128,5,0.7,0.9107142857142857,
128,5,0.6,0.9473684210526315,
128,10,1.0,0.0,
128,10,0.975,0.0,
128,10,0.95,0.03636363636363636,
128,10,0.925,0.07272727272727272,
128,10,0.9,0.14545454545454545,
128,10,0.85,0.45454545454545453,
128,10,0.8,0.7090909090909091,
128,10,0.7,0.9285714285714286,
128,10,0.6,0.9016393442622951,
128,15,1.0,0.0,
128,15,0.975,0.0,
128,15,0.95,0.0,
128,15,0.925,0.03636363636363636,
128,15,0.9,0.10909090909090909,
128,15,0.85,0.43636363636363634,
128,15,0.8,0.7090909090909091,
128,15,0.7,0.9272727272727272,
128,15,0.6,0.9649122807017544,
