Forest Size, Forest Depth, Edges Threshold, Similarity,
128,5,1.0,0.018518518518518517,
128,5,0.975,0.05555555555555555,
128,5,0.95,0.16666666666666666,
128,5,0.925,0.3148148148148148,
128,5,0.9,0.48148148148148145,
128,5,0.85,0.6296296296296297,
128,5,0.8,0.7272727272727273,
128,5,0.7,0.8928571428571429,
128,5,0.6,0.9298245614035088,
128,10,1.0,0.0,
128,10,0.975,0.0,
128,10,0.95,0.037037037037037035,
128,10,0.925,0.07407407407407407,
128,10,0.9,0.14814814814814814,
128,10,0.85,0.46296296296296297,
128,10,0.8,0.7222222222222222,
128,10,0.7,0.9107142857142857,
128,10,0.6,0.8852459016393442,
128,15,1.0,0.0,
128,15,0.975,0.0,
128,15,0.95,0.0,
128,15,0.925,0.037037037037037035,
128,15,0.9,0.1111111111111111,
128,15,0.85,0.4444444444444444,
128,15,0.8,0.7222222222222222,
128,15,0.7,0.875,
128,15,0.6,0.9473684210526315,
