Forest Size, Forest Depth, Edges Threshold, Similarity,
16,5,1.0,0.18518518518518517,
16,5,0.975,0.23255813953488372,
16,5,0.95,0.2702702702702703,
16,5,0.925,0.3225806451612903,
16,5,0.9,0.37037037037037035,
16,5,0.85,0.45,
16,5,0.8,0.5,
16,5,0.7,0.6363636363636364,
16,5,0.6,0.45454545454545453,
16,10,1.0,0.16129032258064516,
16,10,0.975,0.16666666666666666,
16,10,0.95,0.1724137931034483,
16,10,0.925,0.18518518518518517,
16,10,0.9,0.2564102564102564,
16,10,0.85,0.35714285714285715,
16,10,0.8,0.375,
16,10,0.7,0.6,
16,10,0.6,0.4,
16,15,1.0,0.15625,
16,15,0.975,0.15625,
16,15,0.95,0.16666666666666666,
16,15,0.925,0.18518518518518517,
16,15,0.9,0.21739130434782608,
16,15,0.85,0.2857142857142857,
16,15,0.8,0.4,
16,15,0.7,0.23076923076923078,
16,15,0.6,0.18181818181818182,
32,5,1.0,0.1694915254237288,
32,5,0.975,0.18518518518518517,
32,5,0.95,0.22727272727272727,
32,5,0.925,0.2777777777777778,
32,5,0.9,0.35714285714285715,
32,5,0.85,0.43478260869565216,
32,5,0.8,0.4444444444444444,
32,5,0.7,0.3,
32,5,0.6,0.3,
32,10,1.0,0.15625,
32,10,0.975,0.16129032258064516,
32,10,0.95,0.16393442622950818,
32,10,0.925,0.17543859649122806,
32,10,0.9,0.19607843137254902,
32,10,0.85,0.3448275862068966,
32,10,0.8,0.5,
32,10,0.7,0.7,
32,10,0.6,0.2,
32,15,1.0,0.15625,
32,15,0.975,0.15873015873015872,
32,15,0.95,0.15873015873015872,
32,15,0.925,0.16666666666666666,
32,15,0.9,0.17543859649122806,
32,15,0.85,0.2702702702702703,
32,15,0.8,0.47368421052631576,
32,15,0.7,0.45454545454545453,
32,15,0.6,0.2,
64,5,1.0,0.16393442622950818,
64,5,0.975,0.18518518518518517,
64,5,0.95,0.2,
64,5,0.925,0.22727272727272727,
64,5,0.9,0.29411764705882354,
64,5,0.85,0.45454545454545453,
64,5,0.8,0.4444444444444444,
64,5,0.7,0.5,
64,5,0.6,0.5454545454545454,
64,10,1.0,0.15873015873015872,
64,10,0.975,0.15873015873015872,
64,10,0.95,0.16129032258064516,
64,10,0.925,0.1724137931034483,
64,10,0.9,0.18867924528301888,
64,10,0.85,0.2702702702702703,
64,10,0.8,0.3333333333333333,
64,10,0.7,0.6,
64,10,0.6,0.3,
64,15,1.0,0.15625,
64,15,0.975,0.15625,
64,15,0.95,0.15873015873015872,
64,15,0.925,0.1724137931034483,
64,15,0.9,0.19230769230769232,
64,15,0.85,0.2857142857142857,
64,15,0.8,0.42857142857142855,
64,15,0.7,0.4375,
64,15,0.6,0.3,
128,5,1.0,0.15873015873015872,
128,5,0.975,0.16393442622950818,
128,5,0.95,0.18181818181818182,
128,5,0.925,0.2127659574468085,
128,5,0.9,0.2631578947368421,
128,5,0.85,0.3333333333333333,
128,5,0.8,0.375,
128,5,0.7,0.5714285714285714,
128,5,0.6,0.6363636363636364,
128,10,1.0,0.15625,
128,10,0.975,0.15625,
128,10,0.95,0.16129032258064516,
128,10,0.925,0.16666666666666666,
128,10,0.9,0.17857142857142858,
128,10,0.85,0.2564102564102564,
128,10,0.8,0.4,
128,10,0.7,0.6153846153846154,
128,10,0.6,0.3,
128,15,1.0,0.15625,
128,15,0.975,0.15625,
128,15,0.95,0.15625,
128,15,0.925,0.16129032258064516,
128,15,0.9,0.1724137931034483,
128,15,0.85,0.25,
128,15,0.8,0.4,
128,15,0.7,0.5333333333333333,
128,15,0.6,0.7,
256,5,1.0,0.15625,
256,5,0.975,0.1694915254237288,
256,5,0.95,0.18867924528301888,
256,5,0.925,0.20408163265306123,
256,5,0.9,0.23255813953488372,
256,5,0.85,0.3333333333333333,
256,5,0.8,0.4166666666666667,
256,5,0.7,0.5,
256,5,0.6,0.7272727272727273,
256,10,1.0,0.15625,
256,10,0.975,0.15625,
256,10,0.95,0.16129032258064516,
256,10,0.925,0.16393442622950818,
256,10,0.9,0.1694915254237288,
256,10,0.85,0.2222222222222222,
256,10,0.8,0.38461538461538464,
256,10,0.7,0.5333333333333333,
256,10,0.6,0.5,
256,15,1.0,0.15625,
256,15,0.975,0.15625,
256,15,0.95,0.15625,
256,15,0.925,0.15873015873015872,
256,15,0.9,0.16393442622950818,
256,15,0.85,0.19230769230769232,
256,15,0.8,0.3125,
256,15,0.7,0.6153846153846154,
256,15,0.6,0.7272727272727273,
