Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
16, 5, 0.7940182705543737,0.7934825438144304,0.7940182705543737,0.7970398960711143, 
16, 10, 0.82918283068452,0.8291416894597263,0.8291828306845199,0.8309267786875528, 
32, 5, 0.7985233387561006,0.798014703758269,0.7985233387561006,0.8015231465712187, 
32, 10, 0.8268051558002754,0.8267512163944595,0.8268051558002752,0.8286254827756439, 
64, 5, 0.7980227756225754,0.7974113524639604,0.7980227756225754,0.8012000624777704, 
64, 10, 0.82918283068452,0.8291257906252181,0.8291828306845199,0.8310299360104682, 
128, 5, 0.7967713677887623,0.7960628743267775,0.7967713677887623,0.8000969471830743, 
128, 10, 0.8286822675509948,0.828625060341336,0.8286822675509948,0.8305286710865298, 
256, 5, 0.797021649355525,0.7963019155481144,0.797021649355525,0.8003663355219371, 
256, 10, 0.82918283068452,0.8291257906252181,0.8291828306845199,0.8310299360104682, 
