Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Nodes Count, Nodes Ratio, Training Time, Pruning Time
,,,,,,,,,,,,,,,,,,
Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Nodes Count, Nodes Ratio, Training Time, Pruning Time
,,,,,,,,,,,,,,,,,,
64,5,1,1,LogisticRegression(max_iter=10000),0.843,0.837,0,0.837,0,0.837,0,0,293,1,293,1,0:00:08.453363,0:00:00
,,,,,,,,,,,,,,,,,,
64,5,1,0.95,LogisticRegression(max_iter=10000),0.838,0.835,-0.002,0.835,-0.002,0.835,0,0,218,0.744,218,0.744,0:00:05.982095,0:00:00
,,,,,,,,,,,,,,,,,,
64,5,1,0.9,LogisticRegression(max_iter=10000),0.837,0.836,-0.002,0.835,-0.002,0.836,0,0,187,0.638,187,0.638,0:00:04.528925,0:00:00
,,,,,,,,,,,,,,,,,,
64,5,1,0.85,LogisticRegression(max_iter=10000),0.83,0.829,-0.008,0.829,-0.008,0.829,0,0,140,0.478,140,0.478,0:00:02.736456,0:00:00
,,,,,,,,,,,,,,,,,,
64,5,1,0.8,LogisticRegression(max_iter=10000),0.828,0.828,-0.009,0.828,-0.009,0.828,0,0,118,0.403,118,0.403,0:00:01.812374,0:00:00
,,,,,,,,,,,,,,,,,,
64,5,1,0.75,LogisticRegression(max_iter=10000),0.827,0.827,-0.01,0.827,-0.01,0.827,0,0,108,0.369,108,0.369,0:00:02.581225,0:00:00
,,,,,,,,,,,,,,,,,,
64,5,1,0.7,LogisticRegression(max_iter=10000),0.824,0.827,-0.011,0.827,-0.01,0.827,0,0,87,0.297,87,0.297,0:00:02.242861,0:00:00
,,,,,,,,,,,,,,,,,,
64,5,1,0.65,LogisticRegression(max_iter=10000),0.82,0.821,-0.017,0.821,-0.016,0.821,0,0,69,0.235,69,0.235,0:00:00.697889,0:00:00
,,,,,,,,,,,,,,,,,,
64,5,1,0.6,LogisticRegression(max_iter=10000),0.808,0.804,-0.033,0.804,-0.033,0.804,0,0,61,0.208,61,0.208,0:00:00.949514,0:00:00
,,,,,,,,,,,,,,,,,,
64,10,1,1,LogisticRegression(max_iter=10000),0.868,0.83,0,0.83,0,0.83,0,0,2221,1,2221,1,0:02:32.621964,0:00:00
,,,,,,,,,,,,,,,,,,
64,10,1,0.95,LogisticRegression(max_iter=10000),0.865,0.83,-0.001,0.829,-0.001,0.83,0,0,1913,0.861,1913,0.861,0:01:56.358702,0:00:00
,,,,,,,,,,,,,,,,,,
64,10,1,0.9,LogisticRegression(max_iter=10000),0.862,0.83,0,0.83,0,0.83,0,0,1645,0.741,1645,0.741,0:01:28.857683,0:00:00
,,,,,,,,,,,,,,,,,,
64,10,1,0.85,LogisticRegression(max_iter=10000),0.86,0.83,0,0.83,0,0.83,0,0,1448,0.652,1448,0.652,0:01:12.731917,0:00:00
,,,,,,,,,,,,,,,,,,
64,10,1,0.8,LogisticRegression(max_iter=10000),0.856,0.828,-0.002,0.828,-0.002,0.828,0,0,1297,0.584,1297,0.584,0:01:09.541354,0:00:00
,,,,,,,,,,,,,,,,,,
64,10,1,0.75,LogisticRegression(max_iter=10000),0.851,0.827,-0.003,0.827,-0.003,0.827,0,0,1158,0.521,1158,0.521,0:00:53.493163,0:00:00
,,,,,,,,,,,,,,,,,,
64,10,1,0.7,LogisticRegression(max_iter=10000),0.849,0.827,-0.003,0.827,-0.003,0.827,0,0,963,0.434,963,0.434,0:00:41.968090,0:00:00
,,,,,,,,,,,,,,,,,,
64,10,1,0.65,LogisticRegression(max_iter=10000),0.844,0.826,-0.004,0.826,-0.004,0.826,0,0,688,0.31,688,0.31,0:00:27.048911,0:00:00
,,,,,,,,,,,,,,,,,,
64,10,1,0.6,LogisticRegression(max_iter=10000),0.843,0.828,-0.002,0.828,-0.002,0.828,0,0,612,0.276,612,0.276,0:00:24.666675,0:00:00
,,,,,,,,,,,,,,,,,,
64,15,1,1,LogisticRegression(max_iter=10000),0.893,0.823,0,0.823,0,0.823,0,0,6967,1,6967,1,0:13:34.758449,0:00:00
,,,,,,,,,,,,,,,,,,
64,15,1,0.95,LogisticRegression(max_iter=10000),0.89,0.824,0.001,0.824,0.001,0.824,0,0,6417,0.921,6417,0.921,0:12:53.514418,0:00:00
,,,,,,,,,,,,,,,,,,
64,15,1,0.9,LogisticRegression(max_iter=10000),0.887,0.823,0,0.823,0,0.823,0,0,5885,0.845,5885,0.845,0:09:59.992276,0:00:00
,,,,,,,,,,,,,,,,,,
64,15,1,0.85,LogisticRegression(max_iter=10000),0.884,0.823,-0.001,0.822,0,0.823,0,0,5283,0.758,5283,0.758,0:08:36.916753,0:00:00
,,,,,,,,,,,,,,,,,,
64,15,1,0.8,LogisticRegression(max_iter=10000),0.882,0.823,0,0.823,0,0.823,0,0,4845,0.695,4845,0.695,0:07:09.382846,0:00:00
,,,,,,,,,,,,,,,,,,
64,15,1,0.75,LogisticRegression(max_iter=10000),0.881,0.822,-0.001,0.822,-0.001,0.822,0,0,4358,0.626,4358,0.626,0:05:54.302780,0:00:00
,,,,,,,,,,,,,,,,,,
64,15,1,0.7,LogisticRegression(max_iter=10000),0.877,0.824,0.001,0.824,0.001,0.824,0,0,3702,0.531,3702,0.531,0:05:26.072805,0:00:00
,,,,,,,,,,,,,,,,,,
64,15,1,0.65,LogisticRegression(max_iter=10000),0.87,0.826,0.003,0.826,0.003,0.826,0,0,2703,0.388,2703,0.388,0:03:31.269701,0:00:00
,,,,,,,,,,,,,,,,,,
64,15,1,0.6,LogisticRegression(max_iter=10000),0.868,0.827,0.003,0.826,0.003,0.827,0,0,2391,0.343,2391,0.343,0:03:05.810947,0:00:00
,,,,,,,,,,,,,,,,,,
Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Nodes Count, Nodes Ratio, Training Time, Pruning Time
,,,,,,,,,,,,,,,,,,
16,5,1,1,LogisticRegression(max_iter=10000),0.836,0.833,0,0.833,0,0.833,0,0,146,1,146,1,0:00:02.929374,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.95,LogisticRegression(max_iter=10000),0.833,0.832,-0.001,0.832,-0.001,0.832,0,0,119,0.815,119,0.815,0:00:01.657985,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.9,LogisticRegression(max_iter=10000),0.829,0.826,-0.006,0.826,-0.006,0.826,0,0,88,0.603,88,0.603,0:00:01.052525,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.85,LogisticRegression(max_iter=10000),0.827,0.824,-0.009,0.824,-0.008,0.824,0,0,73,0.5,73,0.5,0:00:00.798152,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.8,LogisticRegression(max_iter=10000),0.826,0.824,-0.009,0.824,-0.009,0.824,0,0,64,0.438,64,0.438,0:00:01.237710,0:00:00
,,,,,,,,,,,,,,,,,,
