Forest Size, Forest Depth, Edges Threshold, Similarity,
16,5,1.0,0.3,
16,5,0.975,0.3,
16,5,0.95,0.3,
16,5,0.925,0.3333333333333333,
16,5,0.9,0.375,
16,5,0.85,0.375,
16,5,0.8,0.5,
16,5,0.7,0.4,
16,5,0.6,0.6666666666666666,
16,10,1.0,0.3,
16,10,0.975,0.3,
16,10,0.95,0.3,
16,10,0.925,0.3,
16,10,0.9,0.3,
16,10,0.85,0.3,
16,10,0.8,0.3333333333333333,
16,10,0.7,0.5,
16,10,0.6,0.3333333333333333,
16,15,1.0,0.3,
16,15,0.975,0.3,
16,15,0.95,0.3,
16,15,0.925,0.3,
16,15,0.9,0.3,
16,15,0.85,0.3,
16,15,0.8,0.3,
16,15,0.7,0.375,
16,15,0.6,0.3333333333333333,
32,5,1.0,0.3,
32,5,0.975,0.3,
32,5,0.95,0.3,
32,5,0.925,0.3,
32,5,0.9,0.3,
32,5,0.85,0.3,
32,5,0.8,0.3333333333333333,
32,5,0.7,0.375,
32,5,0.6,0.6666666666666666,
32,10,1.0,0.3,
32,10,0.975,0.3,
32,10,0.95,0.3,
32,10,0.925,0.3,
32,10,0.9,0.3,
32,10,0.85,0.3,
32,10,0.8,0.3,
32,10,0.7,0.3,
32,10,0.6,0.75,
32,15,1.0,0.3,
32,15,0.975,0.3,
32,15,0.95,0.3,
32,15,0.925,0.3,
32,15,0.9,0.3,
32,15,0.85,0.3,
32,15,0.8,0.3,
32,15,0.7,0.375,
32,15,0.6,0.3333333333333333,
64,5,1.0,0.3,
64,5,0.975,0.3,
64,5,0.95,0.3,
64,5,0.925,0.3,
64,5,0.9,0.3,
64,5,0.85,0.3,
64,5,0.8,0.3,
64,5,0.7,0.375,
64,5,0.6,0.4,
64,10,1.0,0.3,
64,10,0.975,0.3,
64,10,0.95,0.3,
64,10,0.925,0.3,
64,10,0.9,0.3,
64,10,0.85,0.3,
64,10,0.8,0.3,
64,10,0.7,0.3,
64,10,0.6,0.5,
64,15,1.0,0.3,
64,15,0.975,0.3,
64,15,0.95,0.3,
64,15,0.925,0.3,
64,15,0.9,0.3,
64,15,0.85,0.3,
64,15,0.8,0.3,
64,15,0.7,0.375,
64,15,0.6,0.3333333333333333,
128,5,1.0,0.3,
128,5,0.975,0.3,
128,5,0.95,0.3,
128,5,0.925,0.3,
128,5,0.9,0.3,
128,5,0.85,0.3,
128,5,0.8,0.3333333333333333,
128,5,0.7,0.3333333333333333,
128,5,0.6,0.5,
128,10,1.0,0.3,
128,10,0.975,0.3,
128,10,0.95,0.3,
128,10,0.925,0.3,
128,10,0.9,0.3,
128,10,0.85,0.3,
128,10,0.8,0.3,
128,10,0.7,0.3333333333333333,
128,10,0.6,0.4,
128,15,1.0,0.3,
128,15,0.975,0.3,
128,15,0.95,0.3,
128,15,0.925,0.3,
128,15,0.9,0.3,
128,15,0.85,0.3,
128,15,0.8,0.3,
128,15,0.7,0.3,
128,15,0.6,0.5,
256,5,1.0,0.3,
256,5,0.975,0.3,
256,5,0.95,0.3,
256,5,0.925,0.3,
256,5,0.9,0.3,
256,5,0.85,0.3,
256,5,0.8,0.3,
256,5,0.7,0.3,
256,5,0.6,0.5,
256,10,1.0,0.3,
256,10,0.975,0.3,
256,10,0.95,0.3,
256,10,0.925,0.3,
256,10,0.9,0.3,
256,10,0.85,0.3,
256,10,0.8,0.3,
256,10,0.7,0.3,
256,10,0.6,0.3333333333333333,
256,15,1.0,0.3,
256,15,0.975,0.3,
256,15,0.95,0.3,
256,15,0.925,0.3,
256,15,0.9,0.3,
256,15,0.85,0.3,
256,15,0.8,0.3,
256,15,0.7,0.3,
256,15,0.6,0.4,
