Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
16, 5, 0.8279035065904004,0.7864846531614487,0.8279035065904004,0.7646323740407847, 
16, 10, 0.8711763242974384,0.8516443301025088,0.8711763242974385,0.8380545181203435, 
16, 15, 0.8711763242974384,0.8528508895871953,0.8711763242974385,0.8413623921673898, 
32, 5, 0.8385973638398408,0.805726016128522,0.8385973638398408,0.786076246088405, 
32, 10, 0.8729171847799055,0.8531271745653013,0.8729171847799057,0.8385644480043037, 
32, 15, 0.8776423775180303,0.8599549779136935,0.8776423775180303,0.8476511643988898, 
64, 5, 0.8470529718975379,0.8163545837369821,0.8470529718975379,0.7962084140336624, 
64, 10, 0.8741606565530963,0.8539123364594421,0.8741606565530963,0.8381962258110008, 
64, 15, 0.8796319323551356,0.8622878165698091,0.8796319323551355,0.8500060167914765, 
128, 5, 0.8475503606068142,0.8177484451440766,0.8475503606068142,0.7982443220273919, 
128, 10, 0.8706789355881621,0.8499991965216274,0.8706789355881621,0.8346954605077954, 
128, 15, 0.878885849291221,0.8615180403467588,0.878885849291221,0.8494330603361671, 
256, 5, 0.8473016662521761,0.8181041647019992,0.8473016662521761,0.7992110924587551, 
256, 10, 0.8724197960706292,0.8517317275183349,0.8724197960706292,0.8358669652011651, 
256, 15, 0.8798806267097737,0.8626000842591404,0.8798806267097737,0.8503623959789319, 
