Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
16, 5, 0.8415816960954986,0.810155096244463,0.8415816960954986,0.7908489774449273, 
16, 10, 0.872171101715991,0.8517299750233007,0.872171101715991,0.8363375545254711, 
16, 15, 0.877144988808754,0.8595558161226151,0.877144988808754,0.8475999808333882, 
32, 5, 0.8465555831882616,0.8144781627441317,0.8465555831882616,0.7933455375281715, 
32, 10, 0.872171101715991,0.8519829529243119,0.872171101715991,0.8369991293348804, 
32, 15, 0.8734145734891818,0.8552038155029036,0.8734145734891818,0.8432466552356704, 
64, 5, 0.8490425267346431,0.8194454276971905,0.8490425267346432,0.7997210223427154, 
64, 10, 0.8731658791345437,0.8530096076930356,0.8731658791345437,0.8377630712752929, 
64, 15, 0.8793832380004973,0.8621422462334296,0.8793832380004973,0.850145818711078, 
128, 5, 0.8458095001243472,0.81463487899688,0.8458095001243472,0.7944265180963851, 
128, 10, 0.8709276299428003,0.8503837122995487,0.8709276299428003,0.8352172333976031, 
128, 15, 0.8793832380004973,0.8620311405086607,0.8793832380004973,0.8498150313063734, 
256, 5, 0.8470529718975379,0.8176779571856561,0.8470529718975379,0.7986893195689473, 
256, 10, 0.8719224073613528,0.8516001916828917,0.871922407361353,0.8364773564450726, 
256, 15, 0.8796319323551356,0.8622321327443652,0.8796319323551355,0.8498406230891241, 
