,,,,,,,,,,,,,,,,,,
Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Nodes Count, Nodes Ratio, Training Time, Pruning Time
,,,,,,,,,,,,,,,,,,
16,5,1,1,LogisticRegression(max_iter=10000),0.835,0.839,0,0.815,0,0.839,0,0,240,1,240,1,0:00:05.412283,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.95,LogisticRegression(max_iter=10000),0.831,0.836,-0.002,0.812,-0.003,0.836,0,0,197,0.821,197,0.821,0:00:05.043466,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.9,LogisticRegression(max_iter=10000),0.829,0.833,-0.006,0.808,-0.007,0.833,0,0,178,0.742,178,0.742,0:00:03.231518,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.85,LogisticRegression(max_iter=10000),0.829,0.832,-0.007,0.806,-0.009,0.832,0,0,161,0.671,161,0.671,0:00:02.829777,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.8,LogisticRegression(max_iter=10000),0.827,0.827,-0.012,0.801,-0.014,0.827,0,0,145,0.604,145,0.604,0:00:01.947849,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.75,LogisticRegression(max_iter=10000),0.827,0.826,-0.013,0.8,-0.015,0.826,0,0,126,0.525,126,0.525,0:00:01.906878,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.7,LogisticRegression(max_iter=10000),0.825,0.829,-0.009,0.804,-0.011,0.829,0,0,103,0.429,103,0.429,0:00:01.282248,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.65,LogisticRegression(max_iter=10000),0.823,0.825,-0.014,0.799,-0.016,0.825,0,0,83,0.346,83,0.346,0:00:00.975465,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.6,LogisticRegression(max_iter=10000),0.819,0.821,-0.018,0.795,-0.02,0.821,0,0,54,0.225,54,0.225,0:00:00.583780,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,1,LogisticRegression(max_iter=10000),0.852,0.832,0,0.808,0,0.832,0,0,992,1,992,1,0:00:32.286948,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.95,LogisticRegression(max_iter=10000),0.849,0.829,-0.003,0.804,-0.003,0.829,0,0,917,0.924,917,0.924,0:00:28.888943,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.9,LogisticRegression(max_iter=10000),0.849,0.832,0,0.808,0.001,0.832,0,0,859,0.866,859,0.866,0:00:27.731187,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.85,LogisticRegression(max_iter=10000),0.848,0.833,0.001,0.809,0.002,0.833,0,0,794,0.8,794,0.8,0:00:25.752746,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.8,LogisticRegression(max_iter=10000),0.846,0.834,0.002,0.811,0.004,0.834,0,0,732,0.738,732,0.738,0:00:22.277899,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.75,LogisticRegression(max_iter=10000),0.846,0.835,0.003,0.812,0.004,0.835,0,0,672,0.677,672,0.677,0:00:16.653843,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.7,LogisticRegression(max_iter=10000),0.845,0.835,0.003,0.812,0.004,0.835,0,0,582,0.587,582,0.587,0:00:18.084501,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.65,LogisticRegression(max_iter=10000),0.843,0.842,0.01,0.818,0.011,0.842,0,0,462,0.466,462,0.466,0:00:14.137963,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.6,LogisticRegression(max_iter=10000),0.842,0.841,0.009,0.818,0.01,0.841,0,0,378,0.381,378,0.381,0:00:09.604050,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,1,LogisticRegression(max_iter=10000),0.853,0.827,0,0.802,0,0.827,0,0,1192,1,1192,1,0:00:51.321072,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,0.95,LogisticRegression(max_iter=10000),0.853,0.829,0.002,0.804,0.002,0.829,0,0,1107,0.929,1107,0.929,0:00:40.161205,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,0.9,LogisticRegression(max_iter=10000),0.851,0.832,0.005,0.808,0.006,0.832,0,0,1048,0.879,1048,0.879,0:00:38.772022,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,0.85,LogisticRegression(max_iter=10000),0.851,0.831,0.003,0.807,0.004,0.831,0,0,999,0.838,999,0.838,0:00:37.510121,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,0.8,LogisticRegression(max_iter=10000),0.85,0.832,0.005,0.809,0.006,0.832,0,0,956,0.802,956,0.802,0:00:30.584458,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,0.75,LogisticRegression(max_iter=10000),0.85,0.836,0.008,0.812,0.01,0.836,0,0,907,0.761,907,0.761,0:00:33.854752,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,0.7,LogisticRegression(max_iter=10000),0.849,0.835,0.008,0.812,0.01,0.835,0,0,826,0.693,826,0.693,0:00:27.999219,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,0.65,LogisticRegression(max_iter=10000),0.849,0.836,0.008,0.813,0.01,0.836,0,0,699,0.586,699,0.586,0:00:23.502821,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,0.6,LogisticRegression(max_iter=10000),0.847,0.841,0.014,0.819,0.017,0.841,0,0,630,0.529,630,0.529,0:00:15.265832,0:00:00
,,,,,,,,,,,,,,,,,,
32,5,1,1,LogisticRegression(max_iter=10000),0.839,0.837,0,0.813,0,0.837,0,0,367,1,367,1,0:00:08.214639,0:00:00
,,,,,,,,,,,,,,,,,,
32,5,1,0.95,LogisticRegression(max_iter=10000),0.84,0.838,0.001,0.814,0.001,0.838,0,0,321,0.875,321,0.875,0:00:06.642825,0:00:00
,,,,,,,,,,,,,,,,,,
32,5,1,0.9,LogisticRegression(max_iter=10000),0.84,0.838,0.001,0.814,0.001,0.838,0,0,288,0.785,288,0.785,0:00:05.411199,0:00:00
,,,,,,,,,,,,,,,,,,
32,5,1,0.85,LogisticRegression(max_iter=10000),0.835,0.836,-0.001,0.811,-0.001,0.836,0,0,259,0.706,259,0.706,0:00:04.736195,0:00:00
,,,,,,,,,,,,,,,,,,
32,5,1,0.8,LogisticRegression(max_iter=10000),0.835,0.837,0,0.813,0,0.837,0,0,234,0.638,234,0.638,0:00:03.608302,0:00:00
,,,,,,,,,,,,,,,,,,
32,5,1,0.75,LogisticRegression(max_iter=10000),0.834,0.838,0.001,0.813,0.001,0.838,0,0,203,0.553,203,0.553,0:00:03.018767,0:00:00
,,,,,,,,,,,,,,,,,,
32,5,1,0.7,LogisticRegression(max_iter=10000),0.832,0.835,-0.001,0.811,-0.002,0.835,0,0,172,0.469,172,0.469,0:00:02.233488,0:00:00
,,,,,,,,,,,,,,,,,,
32,5,1,0.65,LogisticRegression(max_iter=10000),0.827,0.83,-0.007,0.805,-0.008,0.83,0,0,128,0.349,128,0.349,0:00:01.690348,0:00:00
,,,,,,,,,,,,,,,,,,
32,5,1,0.6,LogisticRegression(max_iter=10000),0.821,0.823,-0.013,0.796,-0.017,0.823,0,0,102,0.278,102,0.278,0:00:01.115154,0:00:00
,,,,,,,,,,,,,,,,,,
32,10,1,1,LogisticRegression(max_iter=10000),0.852,0.828,0,0.803,0,0.828,0,0,1235,1,1235,1,0:00:47.331764,0:00:00
,,,,,,,,,,,,,,,,,,
