Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Accuracy, Accuracy (diff), Patterns Count, Patterns Ratio, Training Time
,,,,,,,,,
Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Accuracy, Accuracy (diff), Patterns Count, Patterns Ratio, Training Time
,,,,,,,,,
25,5,1,1,MultinomialNB(),0.934,0,208,0.977,0:00:00.149314
,,,,,,,,,
25,5,1,1,LinearSVC(max_iter=10000),0.967,0,208,0.977,0:00:17.320744
,,,,,,,,,
25,5,1,0.95,MultinomialNB(),0.933,-0.034,178,0.836,0:00:00.108957
,,,,,,,,,
25,5,1,0.95,LinearSVC(max_iter=10000),0.964,-0.003,178,0.836,0:00:15.302862
,,,,,,,,,
25,5,1,0.9,MultinomialNB(),0.856,-0.111,112,0.526,0:00:00.085891
,,,,,,,,,
25,5,1,0.9,LinearSVC(max_iter=10000),0.946,-0.021,112,0.526,0:00:11.213367
,,,,,,,,,
25,5,1,0.85,MultinomialNB(),0.843,-0.124,77,0.362,0:00:00.068647
,,,,,,,,,
25,5,1,0.85,LinearSVC(max_iter=10000),0.934,-0.033,77,0.362,0:00:10.580397
,,,,,,,,,
25,5,1,0.8,MultinomialNB(),0.822,-0.146,45,0.211,0:00:00.049263
,,,,,,,,,
25,5,1,0.8,LinearSVC(max_iter=10000),0.927,-0.04,45,0.211,0:00:06.949200
,,,,,,,,,
25,5,1,0.75,MultinomialNB(),0.798,-0.169,32,0.15,0:00:00.042765
,,,,,,,,,
25,5,1,0.75,LinearSVC(max_iter=10000),0.884,-0.083,32,0.15,0:00:06.348627
,,,,,,,,,
25,5,1,0.7,MultinomialNB(),0.843,-0.124,18,0.085,0:00:00.034963
,,,,,,,,,
25,5,1,0.7,LinearSVC(max_iter=10000),0.848,-0.119,18,0.085,0:00:03.221986
,,,,,,,,,
25,5,1,0.65,MultinomialNB(),0.844,-0.123,14,0.066,0:00:00.043153
,,,,,,,,,
25,5,1,0.65,LinearSVC(max_iter=10000),0.863,-0.104,14,0.066,0:00:02.620924
,,,,,,,,,
25,5,1,0.6,MultinomialNB(),0.833,-0.134,8,0.038,0:00:00.032101
,,,,,,,,,
25,5,1,0.6,LinearSVC(max_iter=10000),0.848,-0.119,8,0.038,0:00:01.390356
,,,,,,,,,
25,5,2,1,MultinomialNB(),0.948,0,83,0.954,0:00:00.072459
,,,,,,,,,
25,5,2,1,LinearSVC(max_iter=10000),0.974,0,83,0.954,0:00:04.980157
,,,,,,,,,
25,5,2,0.95,MultinomialNB(),0.943,-0.03,73,0.839,0:00:00.064774
,,,,,,,,,
25,5,2,0.95,LinearSVC(max_iter=10000),0.973,0,73,0.839,0:00:04.557007
,,,,,,,,,
25,5,2,0.9,MultinomialNB(),0.88,-0.094,46,0.529,0:00:00.049051
,,,,,,,,,
25,5,2,0.9,LinearSVC(max_iter=10000),0.968,-0.006,46,0.529,0:00:03.585483
,,,,,,,,,
25,5,2,0.85,MultinomialNB(),0.869,-0.104,36,0.414,0:00:00.052365
,,,,,,,,,
25,5,2,0.85,LinearSVC(max_iter=10000),0.952,-0.022,36,0.414,0:00:03.249120
,,,,,,,,,
25,5,2,0.8,MultinomialNB(),0.818,-0.155,20,0.23,0:00:00.038988
,,,,,,,,,
25,5,2,0.8,LinearSVC(max_iter=10000),0.933,-0.041,20,0.23,0:00:02.137620
,,,,,,,,,
25,5,2,0.75,MultinomialNB(),0.824,-0.15,13,0.149,0:00:00.032757
,,,,,,,,,
25,5,2,0.75,LinearSVC(max_iter=10000),0.871,-0.102,13,0.149,0:00:02.074824
,,,,,,,,,
25,5,2,0.7,MultinomialNB(),0.821,-0.153,9,0.103,0:00:00.031591
,,,,,,,,,
25,5,2,0.7,LinearSVC(max_iter=10000),0.871,-0.102,9,0.103,0:00:01.240556
,,,,,,,,,
25,5,2,0.65,MultinomialNB(),0.835,-0.139,7,0.08,0:00:00.064283
,,,,,,,,,
25,5,2,0.65,LinearSVC(max_iter=10000),0.872,-0.102,7,0.08,0:00:01.242863
,,,,,,,,,
25,5,2,0.6,MultinomialNB(),0.848,-0.125,3,0.034,0:00:00.021480
,,,,,,,,,
25,5,2,0.6,LinearSVC(max_iter=10000),0.848,-0.125,3,0.034,0:00:00.668055
