Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train R2, Test R2, Test R2 (gain), MAE, MAE (gain), MSE, MSE (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time
,,,,,,,,,,,,,,,
Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train R2, Test R2, Test R2 (gain), MAE, MAE (gain), MSE, MSE (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time
,,,,,,,,,,,,,,,
25,5,1,1,MultinomialNB(),0.509,0.314,0,2.109,0,6.672,0,184,1,0:00:00.013803,0:00:01.507028
,,,,,,,,,,,,,,,
25,5,1,1,LinearSVC(max_iter=10000),0.707,0.315,0,2.049,0,6.658,0,184,1,0:01:39.395320,0:00:01.507028
,,,,,,,,,,,,,,,
25,5,1,1,LogisticRegression(max_iter=10000),0.742,0.354,0,1.996,0,6.277,0,184,1,0:00:21.529657,0:00:01.507028
,,,,,,,,,,,,,,,
25,5,1,0.975,MultinomialNB(),0.492,0.308,-0.046,2.119,0.123,6.725,0.447,151,0.821,0:00:00.012809,0:00:00.795968
,,,,,,,,,,,,,,,
25,5,1,0.975,LinearSVC(max_iter=10000),0.7,0.347,-0.007,2.013,0.017,6.342,0.065,151,0.821,0:00:52.232906,0:00:00.795968
,,,,,,,,,,,,,,,
25,5,1,0.975,LogisticRegression(max_iter=10000),0.736,0.344,-0.01,2.01,0.014,6.372,0.094,151,0.821,0:00:14.812561,0:00:00.795968
,,,,,,,,,,,,,,,
25,5,1,0.95,MultinomialNB(),0.483,0.3,-0.054,2.128,0.132,6.802,0.524,135,0.734,0:00:00.011802,0:00:00.662128
,,,,,,,,,,,,,,,
25,5,1,0.95,LinearSVC(max_iter=10000),0.69,0.314,-0.04,2.052,0.056,6.665,0.388,135,0.734,0:00:53.200093,0:00:00.662128
,,,,,,,,,,,,,,,
25,5,1,0.95,LogisticRegression(max_iter=10000),0.727,0.337,-0.017,2.031,0.035,6.444,0.167,135,0.734,0:00:27.606636,0:00:00.662128
,,,,,,,,,,,,,,,
