Model Size (KB), Nodes Count, Train Accuracy, Test Accuracy, R2, MAE, MSE, Training Time,
2,80,0.566,0.517,0.116,0.546,0.701,0:00:02.055300,

Model Size (KB), Nodes Count, Train Accuracy, Test Accuracy, R2, MAE, MSE, Training Time,
6,240,0.633,0.532,0.116,0.54,0.701,0:00:05.279132,

Model Size (KB), Nodes Count, Train Accuracy, Test Accuracy, R2, MAE, MSE, Training Time,
12,480,0.702,0.54,0.095,0.538,0.717,0:00:13.304920,

Model Size (KB), Nodes Count, Train Accuracy, Test Accuracy, R2, MAE, MSE, Training Time,
24,960,0.759,0.547,0.113,0.53,0.703,0:00:34.084029,

Model Size (KB), Nodes Count, Train Accuracy, Test Accuracy, R2, MAE, MSE, Training Time,
32,1280,0.796,0.559,0.109,0.52,0.706,0:00:46.596183,

Model Size (KB), Nodes Count, Train Accuracy, Test Accuracy, R2, MAE, MSE, Training Time,
48,1920,0.814,0.559,0.131,0.515,0.689,0:01:19.541461,

Model Size (KB), Nodes Count, Train Accuracy, Test Accuracy, R2, MAE, MSE, Training Time,
64,2560,0.84,0.572,0.131,0.505,0.689,0:03:15.441449,

