Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
64, 5, 0.8039043924414967,0.8033349342145861,0.8039043924414967,0.8070477246110352, 
64, 10, 0.8299336753848079,0.8298799561381722,0.8299336753848079,0.831763077519482, 
64, 15, 0.829558253034664,0.8295549832576554,0.829558253034664,0.8308854091196217, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
4, 5, 0.7972719309222875,0.7966008541072882,0.7972719309222875,0, 
4, 10, 0.8176698786134401,0.8176056110654358,0.8176698786134401,0, 
4, 15, 0.8081591790764611,0.8081590709227294,0.8081591790764611,0, 
8, 5, 0.7907646101864597,0.790231092344621,0.7907646101864597,0, 
8, 10, 0.8264297334501314,0.8264025477147141,0.8264297334501313,0, 
8, 15, 0.8229257915154549,0.8229071437634055,0.8229257915154549,0, 
16, 5, 0.7983981979727193,0.797911890847093,0.7983981979727193,0, 
16, 10, 0.8264297334501314,0.8263809126599505,0.8264297334501313,0, 
16, 15, 0.829558253034664,0.8295513102809746,0.829558253034664,0, 
32, 5, 0.7967713677887623,0.7962886289815707,0.7967713677887623,0, 
32, 10, 0.825428607183081,0.8253687049180567,0.825428607183081,0, 
32, 15, 0.8280565636340883,0.8280506153174235,0.8280565636340883,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
2, 5, 0.7868852459016393,0.7867235921017095,0.7868852459016392,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
1, 5, 0.7633587786259542,0.7624656452283587,0.7633587786259542,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
64, 5, 0.792892003503942,0.7920648488378483,0.792892003503942,0, 
64, 10, 0.8285571267676136,0.8284909227792351,0.8285571267676136,0, 
64, 15, 0.8308096608684771,0.8308032990424358,0.8308096608684771,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
16, 5, 0.7916405956701289,0.7905974670112689,0.7916405956701288,0, 
16, 10, 0.8260543110999875,0.8259590024066017,0.8260543110999875,0, 
16, 15, 0.8276811412839444,0.8276763809093753,0.8276811412839444,0, 
32, 5, 0.7932674258540858,0.7924252401842853,0.7932674258540858,0, 
32, 10, 0.8261794518833688,0.8260988849192209,0.8261794518833687,0, 
32, 15, 0.8303090977349519,0.8303089675224418,0.8303090977349519,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
