Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
64, 5, 0.8986338131251524,0.6034582323794556,0.8986338131251524,0, 
64, 10, 0.8991217370090266,0.6290594954505835,0.8991217370090266,0, 
64, 15, 0.898755794096121,0.6447669434673065,0.898755794096121,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
16, 5, 0.8983898511832155,0.6057478580482281,0.8983898511832155,0, 
16, 10, 0.8991217370090266,0.6301914300144063,0.8991217370090266,0, 
16, 15, 0.8983898511832155,0.6488128251977614,0.8983898511832155,0, 
32, 5, 0.898755794096121,0.6042612489691184,0.898755794096121,0, 
32, 10, 0.898999756038058,0.6288949945678701,0.898999756038058,0, 
32, 15, 0.8982678702122469,0.6525841911938068,0.8982678702122469,0, 
64, 5, 0.8981458892412784,0.6060859066518669,0.8981458892412784,0, 
64, 10, 0.900829470602586,0.6353390203159908,0.900829470602586,0, 
64, 15, 0.9000975847767748,0.6542234932317967,0.9000975847767748,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
16, 5, 0.8981458892412784,0.6028571556207972,0.8981458892412784,0, 
16, 10, 0.8983898511832155,0.6292044422703638,0.8983898511832155,0, 
16, 15, 0.8976579653574043,0.6477847729683346,0.8976579653574043,0, 
32, 5, 0.8983898511832155,0.6063897696548075,0.8983898511832155,0, 
32, 10, 0.9010734325445231,0.6395441236785315,0.9010734325445231,0, 
32, 15, 0.898511832154184,0.6509702083534183,0.898511832154184,0, 
64, 5, 0.8982678702122469,0.6062377372808088,0.8982678702122469,0, 
64, 10, 0.8999756038058063,0.6313525489163816,0.8999756038058063,0, 
64, 15, 0.8983898511832155,0.6478111709146256,0.8983898511832155,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
