Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
64, 5, 0.8125,0.6525446931761169,0.8125,0, 
64, 10, 0.812,0.6648081878722373,0.8119999999999999,0, 
64, 15, 0.8105,0.6611989514549548,0.8105,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
16, 5, 0.8111666666666667,0.6491910882151273,0.8111666666666666,0, 
16, 10, 0.81,0.6615088667851319,0.81,0, 
16, 15, 0.8103333333333333,0.6652530947420028,0.8103333333333332,0, 
32, 5, 0.8111666666666667,0.6509509891133987,0.8111666666666666,0, 
32, 10, 0.81,0.6574516485990775,0.81,0, 
32, 15, 0.812,0.667421193368237,0.8119999999999999,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
16, 5, 0.809,0.6373344270263701,0.809,0, 
16, 10, 0.8111666666666667,0.6626577123577888,0.8111666666666666,0, 
16, 15, 0.81,0.6638831209572609,0.81,0, 
32, 5, 0.8138333333333333,0.6626008100903199,0.8138333333333333,0, 
32, 10, 0.8106666666666666,0.660825595087863,0.8106666666666666,0, 
32, 15, 0.8085,0.6584333784808372,0.8085,0, 
64, 5, 0.8121666666666667,0.659855305203404,0.8121666666666667,0, 
64, 10, 0.8125,0.6653040658019149,0.8125,0, 
64, 15, 0.8111666666666667,0.66371957120931,0.8111666666666666,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
16, 5, 0.813,0.6606786427145709,0.813,0, 
16, 10, 0.8136666666666666,0.6675177973143289,0.8136666666666665,0, 
16, 15, 0.8095,0.6588709883205843,0.8095,0, 
32, 5, 0.8078333333333333,0.6320680704916731,0.8078333333333333,0, 
32, 10, 0.8106666666666666,0.662430940977714,0.8106666666666666,0, 
32, 15, 0.8088333333333333,0.6574053437896554,0.8088333333333332,0, 
64, 5, 0.809,0.6370182282730915,0.809,0, 
64, 10, 0.8133333333333334,0.6642685180392722,0.8133333333333334,0, 
64, 15, 0.813,0.6660648028730728,0.813,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
16, 5, 0.8061666666666667,0.6252303842237137,0.8061666666666668,0, 
16, 10, 0.8108333333333333,0.6617949075649725,0.8108333333333333,0, 
16, 15, 0.8108333333333333,0.6620622272957549,0.8108333333333333,0, 
32, 5, 0.8085,0.6336676147345963,0.8085,0, 
32, 10, 0.8116666666666666,0.6642138761486065,0.8116666666666666,0, 
32, 15, 0.8098333333333333,0.6600070392349195,0.8098333333333334,0, 
64, 5, 0.8131666666666667,0.6549359068842031,0.8131666666666667,0, 
64, 10, 0.8115,0.6605642087116952,0.8115,0, 
64, 15, 0.8101666666666667,0.6606029953449372,0.8101666666666667,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
16, 5, 0.8108333333333333,0.6458837890434571,0.8108333333333333,0, 
16, 10, 0.8116666666666666,0.6657909535230563,0.8116666666666666,0, 
16, 15, 0.8076666666666666,0.657082135465037,0.8076666666666666,0, 
32, 5, 0.8068333333333333,0.6288423740958237,0.8068333333333333,0, 
32, 10, 0.8098333333333333,0.658926483312333,0.8098333333333334,0, 
32, 15, 0.8071666666666667,0.6568659264652115,0.8071666666666667,0, 
64, 5, 0.8086666666666666,0.636067295003597,0.8086666666666666,0, 
64, 10, 0.8123333333333334,0.6638112852719487,0.8123333333333335,0, 
64, 15, 0.8115,0.6645768045221729,0.8115,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
16, 5, 0.8078333333333333,0.6320680704916731,0.8078333333333333,0, 
16, 10, 0.8105,0.6593086762773714,0.8105,0, 
16, 15, 0.8096666666666666,0.6601123038155519,0.8096666666666666,0, 
32, 5, 0.8085,0.633344503898467,0.8085,0, 
32, 10, 0.8118333333333333,0.6611644488377575,0.8118333333333333,0, 
32, 15, 0.8111666666666667,0.6639836600562528,0.8111666666666666,0, 
64, 5, 0.811,0.646346379707559,0.811,0, 
64, 10, 0.8118333333333333,0.663049296425144,0.8118333333333333,0, 
64, 15, 0.8118333333333333,0.6643788375151133,0.8118333333333333,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
16, 5, 0.8093333333333333,0.6373353532091593,0.8093333333333335,0, 
16, 10, 0.8108333333333333,0.6554891878999911,0.8108333333333333,0, 
16, 15, 0.8103333333333333,0.6615699940462489,0.8103333333333332,0, 
32, 5, 0.8103333333333333,0.6432744272903631,0.8103333333333332,0, 
32, 10, 0.8123333333333334,0.6643439026251525,0.8123333333333335,0, 
32, 15, 0.8118333333333333,0.6643788375151133,0.8118333333333333,0, 
64, 5, 0.8093333333333333,0.6373353532091593,0.8093333333333335,0, 
64, 10, 0.8113333333333334,0.6625553266178266,0.8113333333333334,0, 
64, 15, 0.8106666666666666,0.6640163922143292,0.8106666666666666,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
