Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, ,,Forest Size, Forest Depth, Nodes Count, Model Size (KB)
64,5,0.883780801765355,0.883985321271335,0.883780801765355,0, ,,64,5,3714,92
64,10,0.925340198602427,0.935754675351189,0.925340198602427,0, ,,64,10,32290,807
64,15,0.926443545421111,0.937393599424357,0.926443545421111,0, ,,64,15,67334,1683
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, ,,,,,
4,5,0.882309672673777,0.882659395632118,0.882309672673777,0, ,,4,5,226,5
4,10,0.916881206325855,0.928350853769885,0.916881206325855,0, ,,4,10,1966,49
4,15,0.919823464509011,0.932204177706326,0.919823464509011,0, ,,4,15,4006,100
8,5,0.883780801765355,0.884470179157737,0.883780801765355,0, ,,8,5,460,11
8,10,0.922397940419272,0.933007533834744,0.922397940419272,0, ,,8,10,3920,98
8,15,0.924972416329533,0.936702429154309,0.924972416329533,0, ,,8,15,8316,207
16,5,0.883045237219566,0.883663198856495,0.883045237219566,0, ,,16,5,938,23
16,10,0.926443545421111,0.936961826725285,0.926443545421111,0, ,,16,10,8110,202
16,15,0.928650239058477,0.939075492779546,0.928650239058477,0, ,,16,15,16920,423
32,5,0.881574108127988,0.882798543742809,0.881574108127988,0, ,,32,5,1852,46
32,10,0.930121368150055,0.938918020012082,0.930121368150055,0, ,,32,10,16308,407
32,15,0.926443545421111,0.936726410110012,0.926443545421111,0, ,,32,15,33346,833
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,Upperbound,RF_Size,RF_ACC,Filtered_Size,Filtered_ACC
,,,,,,,8,5,0.882,7.1,0.907
,,,,,,,16,11,0.883,12.3,0.912
,,,,,,,32,23,0.883,20.3,0.913
,,,,,,,64,49,0.916,20.3,0.913
