Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
64, 5, 0.8837808017653549,0.8839853212713356,0.8837808017653549,0, 
64, 10, 0.9253401986024273,0.9357546753511891,0.9253401986024273,0, 
64, 15, 0.9264435454211107,0.9373935994243574,0.9264435454211107,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
4, 5, 0.8823096726737771,0.8826593956321176,0.8823096726737771,0, 
4, 10, 0.9168812063258551,0.9283508537698851,0.9168812063258551,0, 
4, 15, 0.9198234645090106,0.9322041777063265,0.9198234645090106,0, 
8, 5, 0.8837808017653549,0.8844701791577373,0.8837808017653549,0, 
8, 10, 0.9223979404192718,0.933007533834744,0.9223979404192718,0, 
8, 15, 0.9249724163295329,0.9367024291543096,0.9249724163295329,0, 
16, 5, 0.8830452372195661,0.8836631988564954,0.8830452372195661,0, 
16, 10, 0.9264435454211107,0.9369618267252855,0.9264435454211107,0, 
16, 15, 0.9286502390584774,0.9390754927795456,0.9286502390584774,0, 
32, 5, 0.8815741081279882,0.8827985437428086,0.8815741081279882,0, 
32, 10, 0.9301213681500552,0.9389180200120825,0.9301213681500552,0, 
32, 15, 0.9264435454211107,0.9367264101100125,0.9264435454211107,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
64, 5, 0.8834130194924604,0.8839753018440566,0.8834130194924604,0, 
64, 10, 0.9257079808753218,0.9358255318418003,0.9257079808753218,0, 
64, 15, 0.9297535858771607,0.9399786233807258,0.9297535858771607,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
16, 5, 0.879735196763516,0.8803940369704588,0.879735196763516,0, 
16, 10, 0.9223979404192718,0.9320916735025392,0.9223979404192718,0, 
16, 15, 0.9286502390584774,0.9387230705118412,0.9286502390584774,0, 
32, 5, 0.8823096726737771,0.883040978646034,0.8823096726737771,0, 
32, 10, 0.9260757631482163,0.9358103445730475,0.9260757631482163,0, 
32, 15, 0.9238690695108496,0.9352015548378873,0.9238690695108496,0, 
64, 5, 0.8852519308569327,0.8863074142177216,0.8852519308569327,0, 
64, 10, 0.9264435454211107,0.9357181744842016,0.9264435454211107,0, 
64, 15, 0.9301213681500552,0.9402137328323079,0.9301213681500552,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
