Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
64, 5, 0.8448147227057946,0.8135303710688422,0.8448147227057946,0.7934971824536203, 
64, 10, 0.8726684904252674,0.8522435560669401,0.8726684904252674,0.8367195254956773, 
64, 15, 0.8776423775180303,0.8600115821329466,0.8776423775180303,0.8478165581012421, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
16, 5, 0.8448147227057946,0.8174425968438157,0.8448147227057946,0, 
16, 10, 0.8726684904252674,0.8532405593584065,0.8726684904252674,0, 
16, 15, 0.875404128326287,0.8578223867593053,0.875404128326287,0, 
32, 5, 0.8425764735140512,0.8110718032296991,0.8425764735140512,0, 
32, 10, 0.8734145734891818,0.8537020192832454,0.8734145734891818,0, 
32, 15, 0.8741606565530963,0.8564892872660381,0.8741606565530963,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
64, 5, 0.8458095001243472,0.8141778273365852,0.8458095001243472,0, 
64, 10, 0.8709276299428003,0.8506383105724065,0.8709276299428003,0, 
64, 15, 0.8791345436458592,0.8618302158615201,0.8791345436458592,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
64, 5, 0.8453121114150709,0.8124571834091785,0.8453121114150709,0, 
64, 10, 0.8691867694603332,0.8487199771117946,0.8691867694603332,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
64, 5, 0.8433225565779657,0.8128290525591548,0.8433225565779657,0, 
64, 10, 0.8714250186520766,0.8509602683215158,0.8714250186520766,0, 
64, 15, 0.878885849291221,0.8614062296410916,0.878885849291221,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
16, 5, 0.8460581944789853,0.8166664346453878,0.8460581944789853,0, 
16, 10, 0.8701815468788858,0.8498067989592903,0.8701815468788858,0, 
16, 15, 0.8766476000994777,0.8586444491316881,0.8766476000994777,0, 
32, 5, 0.8470529718975379,0.817065795772277,0.8470529718975379,0, 
32, 10, 0.8699328525242477,0.8494232318990476,0.8699328525242477,0, 
32, 15, 0.8768962944541159,0.8592431826933175,0.8768962944541159,0, 
64, 5, 0.8435712509326039,0.8118055228468488,0.8435712509326039,0, 
64, 10, 0.8709276299428003,0.8504475718124674,0.8709276299428003,0, 
64, 15, 0.8778910718726685,0.8603806115200381,0.8778910718726685,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
