Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
64, 5, 0.934156378600823,0.9334135091111144,0.934156378600823,0, 
64, 10, 0.9368998628257887,0.9361111111111111,0.9368998628257887,0, 
64, 15, 0.9272976680384087,0.9264114612001729,0.9272976680384087,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
16, 5, 0.9343832020997376,0.9329867169471492,0.9343832020997376,0, 
16, 10, 0.9383202099737533,0.9368826211318267,0.9383202099737533,0, 
16, 15, 0.937007874015748,0.9356672482692632,0.9370078740157481,0, 
32, 5, 0.9356955380577427,0.9342496147919876,0.9356955380577427,0, 
32, 10, 0.9396325459317585,0.9383950226721502,0.9396325459317585,0, 
32, 15, 0.931758530183727,0.9301395657171871,0.931758530183727,0, 
64, 5, 0.9383202099737533,0.9369830184595731,0.9383202099737533,0, 
64, 10, 0.9383202099737533,0.9369830184595731,0.9383202099737533,0, 
64, 15, 0.931758530183727,0.9302517162471395,0.931758530183727,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
16, 5, 0.9343832020997376,0.9329867169471492,0.9343832020997376,0, 
16, 10, 0.9383202099737533,0.9369333039841514,0.9383202099737533,0, 
16, 15, 0.9330708661417323,0.9318252388011262,0.9330708661417323,0, 
32, 5, 0.9343832020997376,0.9329867169471492,0.9343832020997376,0, 
32, 10, 0.9396325459317585,0.9383950226721502,0.9396325459317585,0, 
32, 15, 0.9330708661417323,0.9318252388011262,0.9330708661417323,0, 
64, 5, 0.9343832020997376,0.9329343425453265,0.9343832020997376,0, 
64, 10, 0.937007874015748,0.9355657026889903,0.9370078740157481,0, 
64, 15, 0.9304461942257218,0.9288822364076601,0.9304461942257218,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
