Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
16, 5, 0.9958311620635748,0.9861963920224666,0.9958311620635748,0, 
16, 10, 0.9979155810317873,0.9930873379099924,0.9979155810317873,0, 
16, 15, 0.9989577905158937,0.9965458097098481,0.9989577905158937,0, 
32, 5, 0.9968733715476811,0.9896428571428572,0.9968733715476811,0, 
32, 10, 0.9989577905158937,0.9965458097098481,0.9989577905158937,0, 
32, 15, 0.9994788952579469,0.998272390415937,0.9994788952579469,0, 
64, 5, 0.9968733715476811,0.9896472940168499,0.9968733715476811,0, 
64, 10, 0.9984366857738406,0.9948171712478107,0.9984366857738406,0, 
64, 15, 0.9989577905158937,0.9965458097098481,0.9989577905158937,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
