Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
16, 5, 0.9025682837342031,0.7701062480270884,0.9025682837342031,0, 
16, 10, 0.9099062372604974,0.8120475302750156,0.9099062372604975,0, 
16, 15, 0.905829596412556,0.8030591976644161,0.905829596412556,0, 
32, 5, 0.8732164696290257,0.6291479936162838,0.8732164696290257,0, 
32, 10, 0.9127598858540562,0.8173276078060188,0.9127598858540562,0, 
32, 15, 0.9123522217692621,0.8162471913322484,0.9123522217692621,0, 
64, 5, 0.896045658377497,0.7384963083085946,0.896045658377497,0, 
64, 10, 0.9099062372604974,0.8087483282196523,0.9099062372604975,0, 
64, 15, 0.9103139013452914,0.8140375687805308,0.9103139013452914,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
