Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, ,,Forest Size, Forest Depth, Nodes Count, Model Size (KB)
64,5,0.919282511210762,0.914734980643311,0.919282511210762,0, ,,64,5,3102,77
64,10,0.93609865470852,0.932960186705168,0.93609865470852,0, ,,64,10,15570,389
64,15,0.949551569506726,0.947385185272571,0.949551569506726,0, ,,64,15,26312,657
4,5,0.903587443946188,0.897815430520034,0.903587443946188,0, ,,4,5,196,4
4,10,0.933856502242152,0.931081174872941,0.933856502242152,0, ,,4,10,930,23
4,15,0.92152466367713,0.917794945521378,0.92152466367713,0, ,,4,15,1636,40
8,5,0.915919282511211,0.911230708601864,0.915919282511211,0, ,,8,5,382,9
8,10,0.93609865470852,0.933094982123659,0.93609865470852,0, ,,8,10,2054,51
8,15,0.942825112107623,0.940369876642247,0.942825112107623,0, ,,8,15,3350,83
16,5,0.915919282511211,0.911230708601864,0.915919282511211,0, ,,16,5,748,18
16,10,0.93609865470852,0.933028005105488,0.93609865470852,0, ,,16,10,3798,94
16,15,0.93609865470852,0.933094982123659,0.93609865470852,0, ,,16,15,6486,162
32,5,0.922645739910314,0.918332251913715,0.922645739910314,0, ,,32,5,1592,39
32,10,0.932735426008969,0.929249398514132,0.932735426008969,0, ,,32,10,7752,193
32,15,0.940582959641256,0.938031440432139,0.940582959641256,0, ,,32,15,13594,339
,,,,,, ,,,,,
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, ,,,,,
,,,,,, ,,,,,
,,,,,, ,,,,,
,,,,,, ,,,,,
,,,,,, ,,,,,
,,,,,, ,,,,,
,,,,,, ,Upperbound,RF_Size,RF_ACC,Filtered_Size,Filtered_ACC
,,,,,, ,8,4,0.903,2.9,0.954
,,,,,, ,16,9,0.915,2.9,0.954
,,,,,, ,32,23,0.933,2.9,0.954
,,,,,, ,64,51,0.936,2.9,0.954
,,,,,, ,,,,,
,,,,,, ,,,,,
