Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
64, 5, 0.9192825112107623,0.9147349806433112,0.9192825112107623,0, 
64, 10, 0.9360986547085202,0.932960186705168,0.9360986547085202,0, 
64, 15, 0.9495515695067265,0.9473851852725708,0.9495515695067265,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
4, 5, 0.905829596412556,0.9003038996013646,0.905829596412556,0, 
4, 10, 0.9103139013452914,0.9055664951618709,0.9103139013452914,0, 
4, 15, 0.929372197309417,0.9261254510677736,0.929372197309417,0, 
8, 5, 0.92152466367713,0.9171034534032192,0.92152466367713,0, 
8, 10, 0.9260089686098655,0.9224143384290986,0.9260089686098655,0, 
8, 15, 0.9405829596412556,0.9380898689536592,0.9405829596412556,0, 
16, 5, 0.9204035874439462,0.9155905343898068,0.9204035874439462,0, 
16, 10, 0.9338565022421524,0.9305368387846983,0.9338565022421524,0, 
16, 15, 0.9473094170403588,0.94499425984846,0.9473094170403588,0, 
32, 5, 0.9204035874439462,0.9160559609254363,0.9204035874439462,0, 
32, 10, 0.9394618834080718,0.9365208223510807,0.9394618834080718,0, 
32, 15, 0.9417040358744395,0.9390540661281253,0.9417040358744395,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
4, 5, 0.9035874439461884,0.8978154305200341,0.9035874439461884,0, 
4, 10, 0.9338565022421524,0.9310811748729412,0.9338565022421524,0, 
4, 15, 0.92152466367713,0.9177949455213781,0.92152466367713,0, 
8, 5, 0.9159192825112108,0.9112307086018636,0.9159192825112108,0, 
8, 10, 0.9360986547085202,0.9330949821236593,0.9360986547085202,0, 
8, 15, 0.9428251121076233,0.9403698766422468,0.9428251121076234,0, 
16, 5, 0.9159192825112108,0.9112307086018636,0.9159192825112108,0, 
16, 10, 0.9360986547085202,0.9330280051054884,0.9360986547085202,0, 
16, 15, 0.9360986547085202,0.9330949821236593,0.9360986547085202,0, 
32, 5, 0.922645739910314,0.9183322519137147,0.922645739910314,0, 
32, 10, 0.9327354260089686,0.9292493985141317,0.9327354260089686,0, 
32, 15, 0.9405829596412556,0.9380314404321388,0.9405829596412556,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
16, 5, 0.9125560538116592,0.9073209718670077,0.9125560538116592,0, 
16, 10, 0.9372197309417041,0.934169741697417,0.9372197309417041,0, 
16, 15, 0.9383408071748879,0.9355063461702786,0.9383408071748879,0, 
32, 5, 0.9170403587443946,0.9120737425404944,0.9170403587443946,0, 
32, 10, 0.9338565022421524,0.9306079125544722,0.9338565022421524,0, 
32, 15, 0.9461883408071748,0.9436308197860879,0.9461883408071748,0, 
64, 5, 0.9147982062780269,0.9094909533676543,0.9147982062780269,0, 
64, 10, 0.9383408071748879,0.9352462056467526,0.9383408071748879,0, 
64, 15, 0.9439461883408071,0.9412821039438415,0.9439461883408071,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
16, 5, 0.9114349775784754,0.9060796086872497,0.9114349775784754,0, 
16, 10, 0.9327354260089686,0.9293957479143251,0.9327354260089686,0, 
16, 15, 0.9417040358744395,0.9390540661281253,0.9417040358744395,0, 
32, 5, 0.9192825112107623,0.914827703276184,0.9192825112107623,0, 
32, 10, 0.9316143497757847,0.9283282159900841,0.9316143497757847,0, 
32, 15, 0.9484304932735426,0.9460862892671877,0.9484304932735426,0, 
64, 5, 0.9204035874439462,0.9158730896701048,0.9204035874439462,0, 
64, 10, 0.9372197309417041,0.934169741697417,0.9372197309417041,0, 
64, 15, 0.945067264573991,0.9424851600712159,0.945067264573991,0, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
