Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Nodes Count, Nodes Ratio, Training Time, Pruning Time
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
16,5,1,0.95,LogisticRegression(max_iter=10000),0.823,0.811,-0.189,0.661,-0.339,0.811,0,-1,176,176,254,176,0:00:06.647663,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.9,LogisticRegression(max_iter=10000),0.822,0.81,-0.19,0.656,-0.344,0.81,0,-1,83,83,216,83,0:00:02.639480,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.85,LogisticRegression(max_iter=10000),0.821,0.811,-0.189,0.657,-0.343,0.811,0,-1,21,21,178,21,0:00:00.367117,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.8,LogisticRegression(max_iter=10000),0.779,0.779,-0.221,0.438,-0.562,0.779,0,-1,3,3,144,3,0:00:00.080964,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.75,LogisticRegression(max_iter=10000),0.779,0.779,-0.221,0.438,-0.562,0.779,0,-1,3,3,125,3,0:00:00.145176,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.7,LogisticRegression(max_iter=10000),0.779,0.779,-0.221,0.438,-0.562,0.779,0,-1,1,1,103,1,0:00:00.071145,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.65,LogisticRegression(max_iter=10000),0.822,0.808,-0.192,0.651,-0.349,0.808,0,-1,81,81,81,81,0:00:02.068877,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.6,LogisticRegression(max_iter=10000),0.821,0.81,-0.19,0.653,-0.347,0.81,0,-1,54,54,54,54,0:00:00.602821,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.95,LogisticRegression(max_iter=10000),0.833,0.804,-0.196,0.655,-0.345,0.804,0,-1,1655,1655,3797,1655,0:02:31.668781,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.9,LogisticRegression(max_iter=10000),0.826,0.811,-0.189,0.664,-0.336,0.811,0,-1,563,563,3372,563,0:00:28.649909,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.85,LogisticRegression(max_iter=10000),0.819,0.811,-0.189,0.657,-0.343,0.811,0,-1,47,47,2931,47,0:00:00.417135,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.8,LogisticRegression(max_iter=10000),0.82,0.81,-0.19,0.655,-0.345,0.81,0,-1,25,25,2557,25,0:00:00.137048,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.75,LogisticRegression(max_iter=10000),0.779,0.779,-0.221,0.438,-0.562,0.779,0,-1,2,2,2161,2,0:00:00.048021,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.7,LogisticRegression(max_iter=10000),0.779,0.779,-0.221,0.438,-0.562,0.779,0,-1,2,2,1711,2,0:00:00.053836,0:00:00
,,,,,,,,,,,,,,,,,,
