Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Nodes Count, Nodes Ratio, Training Time, Pruning Time
,,,,,,,,,,,,,,,,,,
16,5,1,1,0,0,0,317,317,0:00:00.000004,0:00:00,,,,,,,,
,,,,,,,,,,,,,,,,,,
16,5,1,0.95,0,0,0,254,254,0:00:00.000001,0:00:00,,,,,,,,
,,,,,,,,,,,,,,,,,,
16,5,1,0.9,0,0,0,216,216,0:00:00.000001,0:00:00,,,,,,,,
,,,,,,,,,,,,,,,,,,
16,5,1,0.85,0,0,0,178,178,0:00:00,0:00:00,,,,,,,,
,,,,,,,,,,,,,,,,,,
16,5,1,0.8,0,0,0,144,144,0:00:00.000001,0:00:00,,,,,,,,
,,,,,,,,,,,,,,,,,,
16,5,1,0.75,0,0,0,125,125,0:00:00.000002,0:00:00,,,,,,,,
,,,,,,,,,,,,,,,,,,
16,5,1,0.7,0,0,0,103,103,0:00:00.000001,0:00:00,,,,,,,,
,,,,,,,,,,,,,,,,,,
16,5,1,0.65,0,0,0,81,81,0:00:00.000001,0:00:00,,,,,,,,
,,,,,,,,,,,,,,,,,,
16,5,1,0.6,0,0,0,54,54,0:00:00.000001,0:00:00,,,,,,,,
,,,,,,,,,,,,,,,,,,
16,10,1,1,0,0,0,4385,4385,0:00:00.000001,0:00:00,,,,,,,,
,,,,,,,,,,,,,,,,,,
16,10,1,0.95,0,0,0,3797,3797,0:00:00.000001,0:00:00,,,,,,,,
,,,,,,,,,,,,,,,,,,
16,10,1,0.9,0,0,0,3372,3372,0:00:00.000001,0:00:00,,,,,,,,
,,,,,,,,,,,,,,,,,,
16,10,1,0.85,0,0,0,2931,2931,0:00:00.000001,0:00:00,,,,,,,,
,,,,,,,,,,,,,,,,,,
16,10,1,0.8,0,0,0,2557,2557,0:00:00.000001,0:00:00,,,,,,,,
,,,,,,,,,,,,,,,,,,
16,10,1,0.75,0,0,0,2161,2161,0:00:00.000001,0:00:00,,,,,,,,
,,,,,,,,,,,,,,,,,,
16,10,1,0.7,0,0,0,1711,1711,0:00:00.000001,0:00:00,,,,,,,,
