,,,,,,,,,,,,,,,,,,
Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Nodes Count, Nodes Ratio, Training Time, Pruning Time
,,,,,,,,,,,,,,,,,,
128,5,1,1,LogisticRegression(max_iter=10000),0.964,0.921,0,0.92,0,0.921,0,0,810,1,810,1,0:00:02.610422,0:00:00
,,,,,,,,,,,,,,,,,,
128,5,1,0.95,LogisticRegression(max_iter=10000),0.959,0.927,0.005,0.925,0.005,0.927,0,0,704,0.869,704,0.869,0:00:02.349414,0:00:00
,,,,,,,,,,,,,,,,,,
128,5,1,0.9,LogisticRegression(max_iter=10000),0.958,0.927,0.005,0.925,0.005,0.927,0,0,629,0.777,629,0.777,0:00:01.956912,0:00:00
,,,,,,,,,,,,,,,,,,
128,5,1,0.85,LogisticRegression(max_iter=10000),0.955,0.928,0.007,0.926,0.007,0.928,0,0,578,0.714,578,0.714,0:00:02.016487,0:00:00
,,,,,,,,,,,,,,,,,,
128,5,1,0.8,LogisticRegression(max_iter=10000),0.954,0.928,0.007,0.926,0.007,0.928,0,0,529,0.653,529,0.653,0:00:01.850572,0:00:00
,,,,,,,,,,,,,,,,,,
128,5,1,0.75,LogisticRegression(max_iter=10000),0.949,0.925,0.004,0.924,0.004,0.925,0,0,461,0.569,461,0.569,0:00:01.538202,0:00:00
,,,,,,,,,,,,,,,,,,
128,5,1,0.7,LogisticRegression(max_iter=10000),0.946,0.928,0.007,0.926,0.007,0.928,0,0,382,0.472,382,0.472,0:00:01.399034,0:00:00
,,,,,,,,,,,,,,,,,,
128,5,1,0.65,LogisticRegression(max_iter=10000),0.941,0.933,0.012,0.932,0.012,0.933,0,0,309,0.381,309,0.381,0:00:00.724614,0:00:00
,,,,,,,,,,,,,,,,,,
128,5,1,0.6,LogisticRegression(max_iter=10000),0.936,0.933,0.012,0.932,0.012,0.933,0,0,229,0.283,229,0.283,0:00:00.465742,0:00:00
,,,,,,,,,,,,,,,,,,
128,10,1,1,LogisticRegression(max_iter=10000),0.987,0.912,0,0.91,0,0.912,0,0,2699,1,2699,1,0:00:13.355997,0:00:00
,,,,,,,,,,,,,,,,,,
128,10,1,0.95,LogisticRegression(max_iter=10000),0.985,0.913,0.001,0.911,0.001,0.913,0,0,2523,0.935,2523,0.935,0:00:11.991437,0:00:00
,,,,,,,,,,,,,,,,,,
128,10,1,0.9,LogisticRegression(max_iter=10000),0.984,0.911,-0.001,0.908,-0.001,0.911,0,0,2355,0.873,2355,0.873,0:00:11.763174,0:00:00
,,,,,,,,,,,,,,,,,,
128,10,1,0.85,LogisticRegression(max_iter=10000),0.983,0.912,0,0.91,0,0.912,0,0,2171,0.804,2171,0.804,0:00:10.787798,0:00:00
,,,,,,,,,,,,,,,,,,
128,10,1,0.8,LogisticRegression(max_iter=10000),0.982,0.911,-0.001,0.909,-0.001,0.911,0,0,2049,0.759,2049,0.759,0:00:09.478705,0:00:00
,,,,,,,,,,,,,,,,,,
128,10,1,0.75,LogisticRegression(max_iter=10000),0.981,0.909,-0.003,0.907,-0.003,0.909,0,0,1871,0.693,1871,0.693,0:00:08.461858,0:00:00
,,,,,,,,,,,,,,,,,,
128,10,1,0.7,LogisticRegression(max_iter=10000),0.976,0.915,0.003,0.913,0.003,0.915,0,0,1628,0.603,1628,0.603,0:00:06.758293,0:00:00
,,,,,,,,,,,,,,,,,,
