Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Nodes Count, Nodes Ratio, Training Time, Pruning Time
,,,,,,,,,,,,,,,,,,
Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Nodes Count, Nodes Ratio, Training Time, Pruning Time
,,,,,,,,,,,,,,,,,,
16,5,1,1,LogisticRegression(max_iter=10000),0.952,0.945,0,0.943,0,0.945,0,0,109,1,109,1,0:00:00.413691,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.95,LogisticRegression(max_iter=10000),0.945,0.936,-0.009,0.934,-0.009,0.936,0,0,84,0.771,84,0.771,0:00:00.673014,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.9,LogisticRegression(max_iter=10000),0.941,0.939,-0.006,0.937,-0.006,0.939,0,0,73,0.67,73,0.67,0:00:00.342971,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.85,LogisticRegression(max_iter=10000),0.94,0.933,-0.012,0.93,-0.013,0.933,0,0,65,0.596,65,0.596,0:00:00.428854,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.8,LogisticRegression(max_iter=10000),0.938,0.932,-0.013,0.929,-0.014,0.932,0,0,57,0.523,57,0.523,0:00:00.246328,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.75,LogisticRegression(max_iter=10000),0.939,0.93,-0.015,0.928,-0.015,0.93,0,0,50,0.459,50,0.459,0:00:00.088867,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.7,LogisticRegression(max_iter=10000),0.933,0.922,-0.024,0.918,-0.025,0.922,0,0,44,0.404,44,0.404,0:00:00.109047,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.65,LogisticRegression(max_iter=10000),0.923,0.917,-0.028,0.913,-0.03,0.917,0,0,33,0.303,33,0.303,0:00:00.074367,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.6,LogisticRegression(max_iter=10000),0.91,0.913,-0.033,0.908,-0.034,0.913,0,0,28,0.257,28,0.257,0:00:00.058950,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,1,LogisticRegression(max_iter=10000),0.964,0.952,0,0.95,0,0.952,0,0,266,1,266,1,0:00:01.524564,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.95,LogisticRegression(max_iter=10000),0.961,0.951,-0.001,0.949,-0.001,0.951,0,0,223,0.838,223,0.838,0:00:01.126200,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.9,LogisticRegression(max_iter=10000),0.961,0.944,-0.008,0.942,-0.008,0.944,0,0,196,0.737,196,0.737,0:00:00.787336,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.85,LogisticRegression(max_iter=10000),0.958,0.942,-0.01,0.939,-0.011,0.942,0,0,180,0.677,180,0.677,0:00:01.822412,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.8,LogisticRegression(max_iter=10000),0.956,0.942,-0.01,0.939,-0.011,0.942,0,0,169,0.635,169,0.635,0:00:00.964441,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.75,LogisticRegression(max_iter=10000),0.955,0.941,-0.011,0.938,-0.012,0.941,0,0,153,0.575,153,0.575,0:00:00.529542,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.7,LogisticRegression(max_iter=10000),0.949,0.944,-0.008,0.942,-0.008,0.944,0,0,127,0.477,127,0.477,0:00:00.411348,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.65,LogisticRegression(max_iter=10000),0.946,0.938,-0.013,0.936,-0.014,0.938,0,0,89,0.335,89,0.335,0:00:00.284842,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.6,LogisticRegression(max_iter=10000),0.945,0.938,-0.013,0.936,-0.014,0.938,0,0,83,0.312,83,0.312,0:00:00.234612,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,1,LogisticRegression(max_iter=10000),0.967,0.948,0,0.946,0,0.948,0,0,380,1,380,1,0:00:02.533826,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,0.95,LogisticRegression(max_iter=10000),0.965,0.947,-0.001,0.945,-0.001,0.947,0,0,340,0.895,340,0.895,0:00:06.543943,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,0.9,LogisticRegression(max_iter=10000),0.966,0.947,-0.001,0.945,-0.001,0.947,0,0,315,0.829,315,0.829,0:00:02.117596,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,0.85,LogisticRegression(max_iter=10000),0.964,0.945,-0.003,0.943,-0.003,0.945,0,0,285,0.75,285,0.75,0:00:02.043227,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,0.8,LogisticRegression(max_iter=10000),0.963,0.947,-0.001,0.945,-0.001,0.947,0,0,272,0.716,272,0.716,0:00:01.844097,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,0.75,LogisticRegression(max_iter=10000),0.961,0.947,-0.001,0.945,-0.001,0.947,0,0,251,0.661,251,0.661,0:00:00.926901,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,0.7,LogisticRegression(max_iter=10000),0.958,0.943,-0.006,0.94,-0.006,0.943,0,0,220,0.579,220,0.579,0:00:01.062447,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,0.65,LogisticRegression(max_iter=10000),0.957,0.944,-0.004,0.942,-0.005,0.944,0,0,177,0.466,177,0.466,0:00:00.722529,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,0.6,LogisticRegression(max_iter=10000),0.955,0.942,-0.007,0.939,-0.007,0.942,0,0,166,0.437,166,0.437,0:00:00.641306,0:00:00
,,,,,,,,,,,,,,,,,,
32,5,1,1,LogisticRegression(max_iter=10000),0.954,0.939,0,0.937,0,0.939,0,0,130,1,130,1,0:00:00.396722,0:00:00
,,,,,,,,,,,,,,,,,,
32,5,1,0.95,LogisticRegression(max_iter=10000),0.952,0.944,0.004,0.942,0.005,0.944,0,0,101,0.777,101,0.777,0:00:00.265155,0:00:00
,,,,,,,,,,,,,,,,,,
32,5,1,0.9,LogisticRegression(max_iter=10000),0.95,0.944,0.004,0.942,0.005,0.944,0,0,87,0.669,87,0.669,0:00:00.181420,0:00:00
,,,,,,,,,,,,,,,,,,
32,5,1,0.85,LogisticRegression(max_iter=10000),0.943,0.937,-0.002,0.935,-0.002,0.937,0,0,77,0.592,77,0.592,0:00:00.175804,0:00:00
,,,,,,,,,,,,,,,,,,
32,5,1,0.8,LogisticRegression(max_iter=10000),0.942,0.937,-0.002,0.935,-0.002,0.937,0,0,73,0.562,73,0.562,0:00:00.138326,0:00:00
,,,,,,,,,,,,,,,,,,
32,5,1,0.75,LogisticRegression(max_iter=10000),0.939,0.936,-0.003,0.933,-0.004,0.936,0,0,68,0.523,68,0.523,0:00:00.129608,0:00:00
,,,,,,,,,,,,,,,,,,
32,5,1,0.7,LogisticRegression(max_iter=10000),0.932,0.926,-0.013,0.923,-0.014,0.926,0,0,56,0.431,56,0.431,0:00:00.101747,0:00:00
